Survey_ID,Primary_Topic_p,Secondary_Topic_p,p_change,Primary_Topic_r,Secondary_Topic_r,r_effect,,,,,,,,,,,
7048,Personal affiliation with a group,,Yes because im a gang member,Personal experience because of race,,Im white and maxican but look white and im in a mexican gang. So i get a little bit of political heat from that,,,,,,,,,,,
6444,Greater understanding,,I now understand more about the isuess today i.dont pay attenchion on the streets,Certain race is superior ,,Im a white supremist,,,,,,,,,,,
3360,Believes political vote matters more,,"People with the right to vote don't care or aren't informed correctly about what is going on in the country. Because I cannot vote, it's 'why bother' if my voice will not be heard.",Race does not affect opinion ,,Race has nothing to do with my political view.,,,,,,,,,,,
6845,Need for change in system,,I beleive that the justice system needs to be the same across the board for every state because Montana is very far behind considering i was violated on my parole for something the federal courts have ruled on it being an illegal condition to give to anyone in any state,,,I beleive we need to get rid of reservations and per cap for native americans either that or make it to were they have to get a green card to cross their border from their res into the US,,,,,,,,,,,
8186,Personal experience,,Because i belive that i should not.be locked up.for.some.petty.ass bs,Does not know ,,I.dont.know,,,,,,,,,,,
3529,View on politician,,I feel more strongly torward who the president should be.,Does not matter,,Im white but it doesnt matter in here.,,,,,,,,,,,
7744,Time,,"[Yes] When your incarcerated, time stops, and when that happens you see thing much more clearly than before. And with all this extra time we want and need to be more involved because we have no choice, we are part of the system now.",None,,[Not at all],,,,,,,,,,,
8138,Need for change in system,,"Ive spent 18years out of 41 behind bars. My civics ed. Began wit lewinsky, and i thought it was cool. I didnt understand the setup part, the backstabbing, back biting, philabustering opposition to itself, within itself that the political arena is. It has become a.joke to me. I am desensitized to it. I realize now that judges are not beyond reproach, and adultery is not a presidents privacy concern.",Different perspectives based on race,,"Only in so far as the projected attitudes of differenent races are concerned. For example, the.attitude of blacks that its a white world will keep the world white, and that enunciation is """"talking white"""".",,,,,,,,,,,
5292,View on politicians,,Ye they have not all politicail people are agains the incacrated but most are,Should not matter,,Racail background should not have no hold on any decion,,,,,,,,,,,
3733,Need for change in system,,Its b.s. give one his lashings and let him be. Even if he was wornged or in the wrong. His healing can begin and so may his family and society.  There realy is not a line that is good on one side and bad on the other. The them usally start with the power when they were us. That power lead to the corruption that made them them.,,,"I speak my truth quietly, to try to inform one whom one would think would be more inclined to subscribe to a view, due to action and expierince, rarely is the case and a pice of the fear or hate is ussaly present in a rebuttle.",,,,,,,,,,,
4982,Believes political vote matters more,,My vote maters too,,,Brown lives mater,,,,,,,,,,,
6805,Political opinion,More aware,"I am now aware of the profit motivated """"get tough on crime"""" bullshit that came out of administrations from both sides in the '90s, and am far more independant in my political views.",An issue besides race,,"I'm a euro decended (read:white guy) in a prison that is predominantly the same, so I don't have to deal with a lot of the rracial politics that exist in other prisons.  I am not a racist and am educated beyond the local high school level.  Race and gender are obviously huge in the current social climate, but I feel if we are to get past this point in our social history, we can't just replace one form of dominance for another.",,,,,,,,,,,
3074,Experience in prison,,"Before i was with prison for all criminals, but now seeing it in person i think thatvthere are alternatives",Affliliation with group ,,We staybwith race and i have to agree with others.,,,,,,,,,,,
7191,Need for change in system,,Ive lost faith and intrest in the justice system,Not sure,,Im not. Sure,,,,,,,,,,,
5438,Experience in prison,,"From this position,of 29 years of incarceration, i am able to view the world objectively.",Tension between races,,"Convicts should not be allowed to vote,because the majority of us are ignorant and easilly decivied. We already have a problem with allowing young peaple to vote,they think they know everything,By the time they reach 35 years of age everything they believed in will know to be false,Try to stick to conseritive values.
Race is becomeing acrisis.The white man is doing every thing he can to promote the advancement of the other racees at our own expense,it can not be denied..And they have interpitted this as a weakness and use every event as an opportunity to attack the whites with indictments of raceism.This causes anamasity confusion and conflit even with in ourselvs
.Race is the issue,.",,,,,,,,,,,
5650,Cares more,,I value it more now than before.,System disparities in treatment of races ,,Experience counts,,,,,,,,,,,
6814,Views on politicians,,I support politicians who truly want to help inmates,Racial differences in prison ,,In prison races are supposed to stick to their races.  You learn though that nigger doesn't mean a person is black. There are plenty of white people who can be niggers too. It just means ignorance.  But prison politics are a little different than national politics so i could have my answer wrong,,,,,,,,,,,
1648,Expanded view,Race/Ethnicity ,"I never realized how many crimes people were needlessly imprisoned for. Nor did I realize how much racism is in the prisons and hatred toward criminals with very little rehab, or counseling services. Nor did I know how much human trafficking had taken over in our own country.",Not sure,,I'm really not sure,,,,,,,,,,,
6821,Importance of political voice,,Yes. They have changed i would like my opinion to count toward something,System disparities in treatment of races ,,"I am not racist.. I treat everyone equally, I also see alot of people in this prison get parole and not get out until they complete treatment that is not court ordered, and that is selected by prison staff. this prison has also implemented changes to the mail system and make it difficult for families to stay in contact with loved ones",,,,,,,,,,,
6421,Importance of political voice,,Befor becomming incarcerated i had no idea about the importance of politics. I believed that there was a sence of justice. I was wrong there is what is true and what the AG wants to be true. The AG is a political position and each AG needs to be needed. If we look at the rate of incarceration and the rate of crime they are totaly out of order,Race does not affect opinion ,,I am a white person who practices native american religion. I am a yoga instructor. I am on the board of MSP NAACP. My race has no hold over my political views,,,,,,,,,,,
4791,Cares more,,Yes my values n my caringness has changed,Race does not affect opinion ,,Im not judgemental on race at all,,,,,,,,,,,
5144,Need for change in system,,It is mostly that there is on justice in the jusyice department,Injustices towards Black people ,,I'm white and most of the gripe is on the darker side of your skin,,,,,,,,,,,
6403,Less belief in system,,Yes in the wrong way,Na,,People takebthat surios,,,,,,,,,,,
2116,Love,,Love,Love,,Love,,,,,,,,,,,
421,Education,,Redder,None,,No,,,,,,,,,,,
6279,Cares more,,I honestly was adicted to drugs right out of high school so i didnt care about politics but now im starting to see how messed up our system is,Race should not matter,,"I am an american so i am white irish, asian, german, french, indian so i am a little of everything the same as most of america is today and in 20 years there wont be a thing called race there will just be %",,,,,,,,,,,
6100,Need for change in system,,Ive realized that the courts and jails are messed and they do what they do for profit,Does not know ,,I dont know,,,,,,,,,,,
5888,Views on politicians,,Because of trump,Does not know ,,Idk,,,,,,,,,,,
7796,Political opinion,,More.conservative,Race should not matter,,Everyone.deserves a voice regardless of color.religion or sexual beliefsl.,,,,,,,,,,,
8169,View on politics,,Yes,Yes,,Yes,,,,,,,,,,,
6368,Views on politicians,,"I supported President Bill Clinton before impeachment. I supported President Bush for his """"compassionate conservatism,"""" I withdrew my support of Present Bush when he took this contry to war in Iraq under false pertense. I supported President Obama, however, now in some policy issues I support President Trump.",Impacts political perspective,,"Race, religion, gender and nation of origion are part of my identiy and forms a strong foundation of my political thoughts and beliefs.",,,,,,,,,,,
6017,Need for change in system,,Nasty ducks erictiob.with prejusts,,,Hate emotions loving,,,,,,,,,,,
2351,None,,No,Does not affect opinion ,,It doesnt,,,,,,,,,,,
4707,Belief in politcs,,Yes because everything is considered for us people,Personal experience because of minority race,,They are wanting to shut the borders down so they wont have any more people crossing so wen they see me a hispanic they look at me as a child of an immigrant,,,,,,,,,,,
8177,None,,No.......,Prejudice ,,"Prejudius,injust",,,,,,,,,,,
770,Views on politicians,,I don't like the president,Not sure,,Not suer I don't know,,,,,,,,,,,
2103,Experience in prison,,Yes because its given.me the ability to see how things opperate from the inside.and.how the tax payers are lied to to gain votes that wouldnt be the same if the people werent being manipulated with propaganda that is being fed to them and therefore causing them to make decisions and allow things that otherwise they wouldnt.,Does not affect opinion ,,My racial.identity has nothing to.do.with the fact that i want equality and an uncorrupted government to care about the well being of its people without greed and the hunger for power and also the destruction of other countries and peoples solely for monetary gain.,,,,,,,,,,,
2521,Race/Ethnicity,,"It looks like I am to join one race while incarcerated, thats the political views of others not myself persay.",Racial differences in prison ,,Polictics is the one race that you unite with while incarcrated in prison.,,,,,,,,,,,
2425,Cares more,,Never use to care,Na,,Nob8,,,,,,,,,,,
2971,Political opinion,,[Yes] I was once anti-marijuana but I am not pro-pot.,Does not affect opinion ,,[Not at all] Other asians don't sway my political views.,,,,,,,,,,,
2337,Expanded view,Time,Getting older has expand my mind when it comes to politics and i realize it truley concerns my welfare look at donald trump,Racial differences in prison ,,Prison is based on race among prison staff snd inmates,,,,,,,,,,,
7249,View on politics,,Yea,Na,,,,,,,,,,,,,
2397,Experience in prison,,Treatment towrds inmates from deputys,white people treated better,,Whites get more freedom still,,,,,,,,,,,
3740,Need for change in system,,That.crimes need a seperate bracket in the.penal system and women can easily now play rape and once deemed a victim of trafficking is a way for most to keep on with out ever being looked at get out of legal system card a flaw its okay to engage in sex with a 16 year old but god for bid you send or recieve a naked flick by the chick child explortation another fucked up way to just get a conviction kansas dont care if you.innnocent if you was first being.looked.at for.jay. walking do to them being corruppt they.just.book you.for.every little.thing.keep you locked up see.the.state.of.kansas has the.lowest reoffender rate becuasee they take all your years by 20. Plus years to make it look good.but.its they make you.stay in longer,Personal experience because of race,,Baised to my own kind,,,,,,,,,,,
546,Cares more,,I did not care about it when I was out now I can get out but I have no where to go,,,No one cares about us in prison,,,,,,,,,,,
7545,Time,,[Yes] The older I got the more I understand my community and civil business.,Racial differences in prison ,,"[A great deal] Incarcerated poor people have different views, some solw some smart.",,,,,,,,,,,
6512,Mays more attention,,Since being incarerated ive been paying more attention to the.news since i cant vote or voice.my.opinion in public,Should not matter,,We are an intergrated country so we should all have equal rights to opinion and freedom of choice,,,,,,,,,,,
5685,Greater interest,,Well before. I wasnt. Into politics. Now im very interested.,Na,,No commit. Thank you.,,,,,,,,,,,
943,Need for change in system,,I want better rights for inmates,Does not matter,,It doesn't matter race,,,,,,,,,,,
2359,Education,,News,Should not matter,,I dont think race should matter,,,,,,,,,,,
7949,Expanded view,,"Yes. I realized that since being incarcerated, my political view has changed because i am a felon and although ive made a huge mistake it doesnt mean im a horrible person. I am stuck in prison for twenty five years and charged as a juvinile for murder.we now have a mass incarceration since ive been locked up and i am part of the problem.ive learned my lesson but am stagnet in here now just awaiting my lengthy release date. I am stuck doing a long term minumum and the only ones who can change this issue is the government and more than likeky republicans always win.they are against prisoners like myself.",Personal experience because of race,People are treated differently because of race,Ive witnessed racial bias within my racial identity and it effects my view on politics because i realized how prevelent race matters in the U.S because we are treated differently dependent on our race,,,,,,,,,,,
629,Views on politicians,,Nehru's,Na,,,,,,,,,,,,,
8131,Views on politics,,Murder to thos who think wrong obout the goverment....in gods words of speaking...,,,Not enough people being real.,,,,,,,,,,,
2204,News,,Watching the news,,,Whole different world,,,,,,,,,,,
5296,Personal experience,,I mean all the way around..im just a much better man thats all..i have kids to take of of..just time.to man up,Should not matter ,,I mean i dont believe in that we all are human,,,,,,,,,,,
2159,Believes political vote matters more,,I thinking voting for felons is a big thing. It allows the system to recongition we to have rights and need to be heard. We experience more then what the average person does who hasnt been incarcerated. Knowledge is power. Experience incarcerated is change.,Racial differences in prison,,Not many east indians are in jail. Atleast of my understanding and views. The system is powered by white and blscks in jail. The politics are already in place and being a minority we arealready assummed to be judged,,,,,,,,,,,
1765,Expanded view,,Not been mad about who I am,Does not know,,I don't know,,,,,,,,,,,
3263,View on politics,,We all,None,,Nor,,,,,,,,,,,
3144,Importance of political leaders,,It affects us who is in office because of the laws that may possibly be passed,Personal experience based on race,,We are treated unfairly based on our skin colors,,,,,,,,,,,
4524,Views on politicians,,I sue to think certian president was dumb n racist but i can under stand there point of view,Personal experience based on race,,Stereo.typical.that all asian should know everything,,,,,,,,,,,
3238,None,,No,None,,Nope,,,,,,,,,,,
3202,Political opinion,,Too many social programs giving no incentive to work,An issue besides race,,People should work,,,,,,,,,,,
8031,Experience in prison,,"My policatl views far supercede the normal, and fluctuate based upon the propaganda i experience daily.",,,"National, beats racial. Global, beats national.  Humanity, beats global. InterGalactic, beats humanity'",,,,,,,,,,,
8076,Believes political vote matters more,,Wanna be a vote to pick who represents us.,Personal experience based on race,,I am Native American so it means alot coming from me to ne political we have been threw the build of the USA from rhe get go.,,,,,,,,,,,
4016,Believes political vote matters more,,"Votes matter,you want the right person in office,who has the same beliefs as you do.",Race does not affect opinion ,,"Really not that much,i just want people to do there job, no matter the race.",,,,,,,,,,,
4883,Cares more,,I used not really care,Depneds on how one was raised,,It depends on how you were raised,,,,,,,,,,,
4008,Believes political vote matters more,,"I see voting as a right and should not be a previlage, I see people for who they are amd in order to have a voice, you have to vote a closed mouth cant get feed. I need to share my portion I need to be heard.",People are treated differently based on race,,"I know that I AM a spirit expericencing phyical life first then a Human Being. I know that I cant be a lable ie. Black negro african american etc.. I know that people of olive hue will have it worst in america of they dont know who they are. I know that america was occupied before the european nation and that people of olive hue, like myself was here before anyone and that the so named america was stolen an those who performed this act are trying to keep it quiet.",,,,,,,,,,,
6681,Education,,Yes because i study allot about american history now l.,Na,,Alot,,,,,,,,,,,
2235,Views on political parties,,Republicans have the most money and stability. I realize i lack these important things supporting democrat,Racial differences in prison ,,There is a inmate ran government in prison. Even the correctional officers follow the inmate ran government. So one has no idependent thought. Only the collective thought which is regressive oppressive,,,,,,,,,,,
6857,N/A,,Ok,Na,,Pk,,,,,,,,,,,
6126,View on politics,,TRUE,Na,,TRUE,,,,,,,,,,,
4693,Political opinion,,World problems change constantly.,,,The people you hang around can influence you to think a certain way.,,,,,,,,,,,
5956,View on politics,,Ya,Yes,,Yup,,,,,,,,,,,
2467,Views on political parties,,"Many killings have been happening, including familys with little kids and babys. Its not ok, i say. Democrats and repoblicans should not be focused on what the president did or did not do. Elswere, to pay attention on ower poeple and the things thats going on around. Goverment has the eye in the sky, why not use it correctly.",Not in prison ,,Im not in prison. So i dont realy know.,,,,,,,,,,,
6873,Expanded view,,I see the importance now of tolerance.,Political parties' racial preference,,Republican party tends to side with white supremacists. White power individuals in prison love Trump.,,,,,,,,,,,
2397,Experience in prison,,Treatment towrds inmates from deputys,white people treated better,,Whites get more freedom still,,,,,,,,,,,
2967,None,,[No],Does not matter,,[Not at all] Don't matter if views are same,,,,,,,,,,,
4948,None,,No,,,All of us are in agreement about one thing : Donald J. Trump represents all that is soulless and wrong.,,,,,,,,,,,
5946,Need for change in system,,They need fix sentencing laws in kansas,None,,No,,,,,,,,,,,
155,Pays more attention,,"I could have cared less about politics when I was younger. Now I pay more attention to the news and believe that I am better informed to make the decision that I could care less about the politicians that are entrusted with the responsibility of taking care of our country. And we as a country wear our feelings too much on our """"sleeve"""".",Depends on how one is raised ,,"I am mixed Caucasian, Polynesian, and Cherokee. I didn't grow up with some of the biases that tend to be the case with other ethnicities. I am not saying other peoples views aren't valid and mine are on point. Our experiences is the lense in which we view the World. Too many times, though, I have seen what may be the facts get glossed over because people want to believe what they want to believe. It fits their excuses for why their life isn't the way they want it to be.",,,,,,,,,,,
8030,Education,Time,"I have had the motivation and the oppertunity to have time to watch and learn about the goverment and to read books and works by political inovators , such as Macivallie's the prince, and this has given me some perspective on how the goverment and the writers of the constitution differ, and how we have strayed from the first idealistic reasons that are form of goverment was founded. I have come to the realization that special interest groups and the continuing practice of career polititions that follow blindly thier partys every view no matter the truth or evidance to the contrary is speedialy causing a country of missinformed and blindly following sycophants that listen to half storys or oppinion clouded views and follow with rightuos indignation to what they think they know and have no-one to lead them to stop and examin easily found nonbiased reports and studies (for example """"that sex offenders are a high risk to re-offend and need to have a means, sex offender registration, to help law enforcement keep tr",,,I have been following the views of the majority of my racial identity for that was all that you have as a source of news and if you went against the prevailing oppinion of the group you where singeled out as a wierdo or worse.,,,,,,,,,,,
3005,View on politics,,[Yes],An issue besides race,,"[Not sure] when they give up on themselves, stop pursuing education; They just dont care to know that their opinion matters to.",,,,,,,,,,,
2471,View on politics,,Yes,Race impacts everything ,,It is always about race and religion.,,,,,,,,,,,
5611,Desire to be More aware,,I want to know what's going on in politics.,Politician's racial preferences,,Trump is racsist,,,,,,,,,,,
2198,Experience in prison,,As i was a minor when i got locked up i us to think government and the legal system was here to help and serve justice but there not its to help keep the white rich safe and get rid of the non white poor by mass incarceration,Personal experience because of minority race,,As being black samoan puertorican and chumash indian im already at a disadvantage im always going to fit a certain mold by law enforcement,,,,,,,,,,,
8225,Education,,Because i watched more news.,,,Because im a citezen,,,,,,,,,,,
6017,N/A,,Nasty ducks erictiob.with prejusts,,,Hate emotions loving,,,,,,,,,,,
3493,Education,,Been watching more news on the impeachment and how the presedent is treating people unfairely in mexico and everywere he dont care about noyhing but him self,People are treated unfairly because of race,,Our race matters wen people try to take advantage or singke u out or treat u unfairly,,,,,,,,,,,
7249,View on politics,,Yea,Na,,,,,,,,,,,,,
3044,N/A,,Don't know,Does not know ,,Don't know,,,,,,,,,,,
4637,Need for change in system,,"Yes because i feel as if ive been fucked on my case , i made one wrong choice now i will suffer for it for the rest of my life. Not right at all.",Not sure,,Im not sure what the question is asking?,,,,,,,,,,,
3202,Political opinion,,Too many social programs giving no incentive to work,An issue besides race,,People should work,,,,,,,,,,,
8187,N/A,,Hokey aset to,,,Este,,,,,,,,,,,
1986,Need for change in system,,Because of all the injustice done by all these guys in the inside.,Racial differences in prison ,,"In this county jail if you are not white you will never be heard. Hispanics get discriminated by: ISO, CAPTAIN, LITUENENT, for the most part. And somewhat by sargents and supervisors.",,,,,,,,,,,
2116,Love,,Love,Love,,Love,,,,,,,,,,,
4483,Experience in prison,,"I have matured and seen from a different angle the treatment that those who are incarcerated face. People out there think that for petty crimes the offender should serve prison time, not knowing the full extent of what a prison sentence would do to a person for any period of time.",Personal experience because of race,,"I am a caucasian-mexican american with various different cultures and heritage. A DNA ancestry test revealed that I am 49% english wales, 21% Irish/Ireland, 14% Phillipino, 1% German, 5% Portugese, 5% Mexican, and remaining amounts of various cultures.",,,,,,,,,,,
8149,Views on politicians,,Donald trumo.masd are contry great agaian,Personal experience because of minority race,,My mexican race is aterotyoed dailt,,,,,,,,,,,
6857,N/A,,Ok,Na,,Pk,,,,,,,,,,,
2351,None,,No,Does not matter,,It doesnt,,,,,,,,,,,
546,Cares more,,I did not care about it when I was out now I can get out but I have no where to go,,,No one cares about us in prison,,,,,,,,,,,
8105,Does not care,,I mostly dont really care so much anymore my opinion on the subject dosent matter since i cant vote.,Personal experience because of race,,Im from the island of Guam a lot of my views on politics stems from the views of my Islands politicians and being in jail i have no access to that.,,,,,,,,,,,
3770,Education,,To be honest yes it has changed my political views in the regard that i am so much more informed now. I dont just listen to what others say i am able to do my researh and to learn truely like in the current presidential debates what the canidates for persident really stand for and even more so what i stand for and what i believe we as a country stand for untied,Racial differences in prison ,,To be honest it is very little. But i also think that racial idenity also does the same thing out side of prison. I mean for example just look at all the backlash that the famous rapper and artist konya west gets each and every day for being a Trump supporter. Well its the same way in here. All people have their own views and no matter what to some small degree other people will always feel like ther is a line drawn in sand. They will feel as if it is immoral to support one person or the next based souley on race creed or the gender of who it is.,,,,,,,,,,,
8031,Experience in prison,,"My policatl views far supercede the normal, and fluctuate based upon the propaganda i experience daily.",,,"National, beats racial. Global, beats national.  Humanity, beats global. InterGalactic, beats humanity'",,,,,,,,,,,
1245,View on politics,,Yes,None,,None,,,,,,,,,,,
8177,None,,No.......,Prejudice,,"Prejudius,injust",,,,,,,,,,,
7747,Time,,The was is the,Na,,The what teh hell.,,,,,,,,,,,
4893,N/A,,I rsther keep to myself,Racial differences in prison ,,Theres your one c.o's that bring emotions too work and make a hostile enviorment for your but as a black mam i get hastile more tham a prime majoriry white man would.,,,,,,,,,,,
4065,None,,No,Does not care,,Because i dont care about thats stuff,,,,,,,,,,,
2500,Race/Ethnicity,,It wasnt until prison that i unfornately became racist against the black community which ironically was a.race that i predominately hung out with during my chidlhood. Ive become more of a left wing republican who agrees more with trump than obama. Each country is their own country and each have their own laws and beliefs. We americans dont migrate to other countries and make demands to change their laws and demand rights for our beliefs. If not a.natural born citizen/legitimate proud american that want to live here then accept who we.are or stay where your at. Simple as that,Racial differences in prison ,,Each.race in prison you somewhat judge.and assume their religious and political beliefs. You also tend to assume how they more than likely will conduct themselves their time in prison.,,,,,,,,,,,
6310,Believes political vote matters more,,Because i have a hard time understanding how being in prison makes you less of a citizen and unable to vote like any other citizen who is not in prison.we are less of a person because we made some mistakes,Racial differences in prison ,,Prison is a breeding ground for people who are ignorant about race and people in general,,,,,,,,,,,
2359,Education,,News,Race should not matter ,,I dont think race should matter,,,,,,,,,,,
421,Education,,Redder,None,,No,,,,,,,,,,,
2529,None,,Na.,Based on affliation with particular group ,,Because you usally run with what race you are or what county your from,,,,,,,,,,,
7562,Race,,[Yes] I realized that most are in it for the $ not to make America the best place on Earth! That cop who killed that man who she thought was in her house got 10 yrs! Had a black woman/man did that they would never see the light of day ever again!,Based on trust ,,[A great deal] They clearly don't have our best interest at heart! And so many make promises that they don't hold to once in office! So who can I trust?,,,,,,,,,,,
8040,None,,NOT REALLY,All people should be treated equally ,,WERE ALL EQUAL,,,,,,,,,,,
2151,None,,No,Does not,,Dont have,,,,,,,,,,,
8131,Views on politics,,Murder to thos who think wrong obout the goverment....in gods words of speaking...,,,Not enough people being real.,,,,,,,,,,,
5100,Views on politicians,,Not all politicians should hold office,All people are equal ,,We are all equal,,,,,,,,,,,
2528,View on politics,,Theyve changed.aloy,Na,,What,,,,,,,,,,,
5673,N/A,,I cant at this time,Personal experience because of race,,Because im mixs,,,,,,,,,,,
2235,Views on political parties,,Republicans have the most money and stability. I realize i lack these important things supporting democrat,Racial differences in prison,,There is a inmate ran government in prison. Even the correctional officers follow the inmate ran government. So one has no idependent thought. Only the collective thought which is regressive oppressive,,,,,,,,,,,
3029,View on politics,,Yes,None,,No,,,,,,,,,,,
3526,View on politics,,Yes,Yes,,Yes,,,,,,,,,,,
421,Education?,,Redder,None,,No,,,,,,,,,,,
1113,Views on political parties,,"I am a registered democrate, raised in a predomanantly Catholic town full of staunch
Democrats. My envirorment formed my political bias from a very young age. However, in prison I have seen the republican government take some turns that pleased me.",An issue besides race,,I am treated according to my behavior.,,,,,,,,,,,
6760,Times,,More time on my hands to watch tv so see more on politics,Not a racist,,Im.not racist,,,,,,,,,,,
546,Cares more,,I did not care about it when I was out now I can get out but I have no where to go,,,No one cares about us in prison,,,,,,,,,,,
6981,Believes political vote matters more,,Since bein incarcerrated I am only labeled as a number an not a voice important enough for a vote.,Personal experience because of race,,As being Native American my voice and opinion is seldom heard or cared for.,,,,,,,,,,,
6743,Education?,Believes political votes matters more,I just watch more news while being incarcarated but really feel judged that we can't vote or stand up for our rights.,Describes own race,,I'm not caucasion.,,,,,,,,,,,
5644,Importance of political voice,,"I can't vote, it doesn't pertain to a right I don't have.",Different views because race,,The social groups that I interact with have different views because of their race or views.,,,,,,,,,,,
5112,None,,No,Na,,,,,,,,,,,,,
8031,Experience in prison,,"My policatl views far supercede the normal, and fluctuate based upon the propaganda i experience daily.",,,"National, beats racial. Global, beats national.  Humanity, beats global. InterGalactic, beats humanity'",,,,,,,,,,,
2001,Importance of Participation,,I feel like its important to do my part in what happens to this country.,Racial differences in prison ,,"People who spend time incarcerated are often """"brainwashed"""" in a sense when it comes to views on ethnicity. Your race will support and even expect you to use derrogatory racial slurs when refering to other races. You will be subjected to violence if you associate with other races. I myself stick to the rules only because it is necessary to survive, my political views however will not be affected by my environment",,,,,,,,,,,
3819,Expanded view,,"It has opened my eyes to alot of things that go on in our society, im not sure if i had political views before being incarcerated, but i have many different views now.",Impacts political perspective,,"Me being a black persom incarcerated i see things differently when it comes to political standpoints, i may see something that a white person or a hispanic person may not see. And that may even be true to them as well.",,,,,,,,,,,
5231,Need for change in system,,If the ones who are put in office are against prison reform than we are directly subject to the circumstances.,Alliance towards own race,,Because you have to stay in your race to survive,,,,,,,,,,,
7369,N/A,,Majab,Beliefs influced by race,,Im native so we have alot more we believe in,,,,,,,,,,,
2482,Need for change in system,,Because of the way the judical system correctional officers etc treat the inmate who are incarcerated very poorly and un addiquate and shouldnt be aloud,Race impacts prison politics,,I feel like it has a great deal because in prison they run on politics and thats just the way it works,,,,,,,,,,,
3898,Views on political parties,,I recognized as a Dem before and then as the years went by I started see things from an inside looking out view and seeing what they really represent and removing my racial identity from the equation and maturing and wanting certain things stopped or started.,Tries not to let impact opinions,,When forming opinions about political views I try to exclude the fact that I'm black so as not to be biased.,,,,,,,,,,,
4782,Political opinion,,I'm more for people who are willing to help us in the system.,Na,,Don't understand the question.,,,,,,,,,,,
3435,Experience in prison,,I believed in our justice system before being charged and coming to prison and meeting some truly amazing people.,Something besides race impacts views,,"I am mixed blood native american and a woman my gender ,and my families econimic situation determine my views.",,,,,,,,,,,
796,Views on political parties,,"The way the Democratic party is, is the very reason why I would vote Republican!",Describes personal race,,I'm white,,,,,,,,,,,
900,Need for change in system,,My judicial system is poison,Injustice towards Black people,,Black people get bigger and harder sentencing.,,,,,,,,,,,
2206,More aware,,My political views have i would say have grown instead of changed. You see on the streets i was too busy to read a news paper or watch the news so i was not as aware as i am now of what is happening in our world.,Describes personal race,,"Now i dont think i quite understand the question, but i will do my best. Well my race is of a latin decent mixed now if you are talking about prison politics or my outside views on politics from in here? ",,,,,,,,,,,
5458,Race/Ethnicity,,"I am mexican. I believe us mexicans should stop killing each other and unite and take our land back from the united states. If we can , take down this crooked greedy government, and destroy these prisons. Thats just a dream of mine though. Itll never happen. ",Does not know ,,I dont know... it really doesnt matter what we think in prison. Us inmates are considered scum of the earth. The government doesnt care about its people. They want to play god with peoples lives. And all they care about is money.,,,,,,,,,,,
7827,Need for change in system,,Not everything is fair,Describes personal race,,Im native american,,,,,,,,,,,
5811,None,,No,,,I sould not be here,,,,,,,,,,,
1542,Views on political parties,,I have been convinced that Republican ways are better,Does not affect opinion ,,Being native American I feel like race doesn't affect political views much looking for peaceful reputations to stand out,,,,,,,,,,,
6795,Education,Time,I have more time to research the issues. The librel interpretation of the constitution has also driven me left. Strict construction of the text is in line with conservatives and nobody likes a freewheeler.,Na,,,,,,,,,,,,,
127,More interested,,Before I got locked up I had no interest in politics or voting. Now I have More interest in politics because I realize that everyone's view and vote matter's.,Race does not matter,,Because I believe that people are people regardless of their race.,,,,,,,,,,,
4721,Views on politicians,,Most definitely because of how this President has no regards for a person that's incarcerated...,Politician's racial reference,,"Because of all that's been going on with Trumps actions, White people have been kind of """"Stand Offished,"""" not wanting to get into an huge argument over defending Trumps wrong dueings. Everyone in prison, rather inmate or employees knows that Trumps been very wrong in his actions before and after becoming President, and they know a small argument in prison can grow into an Death really fast.  And that's why i.said A GREAT DEAL!!!!",,,,,,,,,,,
2761,View on political parties,,"[Yes] I tend now to highly favor the views of Republicans and what they stand for, and their views.",Treatment because of race,,"[Somewhat] By you seeing how things are for a particular race, and how (we) they are being treated or not treated.",,,,,,,,,,,
4994,None,,Agian no,Na,,No your network sucks to badly for me to answer seriously.,,,,,,,,,,,
4258,Need for change in system,,Treat people equally.  Spend more time in court the first time and get tjings correct,Does not affect opinion ,,I am not racially motavted,,,,,,,,,,,
4933,None,,No,None,,No,,,,,,,,,,,
7234,Expanded view,,Yes because my eyes are opened,Depends on location ,,It matters where your at,,,,,,,,,,,
1996,View on politics,,Yes,Na,,Mario,,,,,,,,,,,
4062,Need for change in system,,Some people are wrong in some inputs,Does not matter,,Doesnt matter about race,,,,,,,,,,,
8109,None,,No,None,,No,,,,,,,,,,,
6167,Views on political parties,,I am a registerd demacrat and i deal with prison politics all day long so i go by what i belive i helped put donald trump in office and id do it again in a heart beat he is what we need leave the man to do his job and stop trying to bring him down over fictional facts,Does not affect opinion ,,I am a white/native amarican and i base my belifes on what i see and hear i go by the facts not color race or creed,,,,,,,,,,,
4857,Need for change in system,,Ok look my view of jobs in prison we all should have a job 400.00$ per month per inmate would help the keeping prison up and for keeping them working to feel they did something. Pay our childsupport and help our children on the out side. The crime would go down. Things in here like rofw bib leadership toast masters all can help. Plus those that want to educate themself like me getting my accociate degree. Buti cant afford every class nor when i get out will i have much to start over on. Right now they act racist agaist certain cases for what to not let them be able to have a chance in life. Some cases like mine if they had investigated at the first i wouldnt be here now. Now me and those involved have to go to topeka ks to try to show the proof we have to finally clear my name because the didnt want to address it in court while in prison.,,,I think our vote would matter but the one thing is to everyone else were not human so they treat us inhumanly.,,,,,,,,,,,
