,Primary_Topic_p,Survey_ID,p_change
617,More interested,572,Before I came to prison I never was into political decided
599,Need for change in system,5665,Yes to manny child molesters in thegoverment
641,Less interested or less belief in system,2187,They dont give a fuck about us
93,Education and more info,2337,Getting older has expand my mind when it comes to politics and i realize it truley concerns my welfare look at donald trump
213,Need for change in system,4058,Its changed cause i feel that noboby is pushing the priaon reforme in kansas prisons
258,Need for change in system,6017,Nasty ducks erictiob.with prejusts
337,Education and more info,2359,News
425,Need for change in system,2683,The system is corroupt
291,More interested,4016,"Votes matter,you want the right person in office,who has the same beliefs as you do."
654,Education and more info,4447,I use to belive that all persons convicted serve their entire sentence. Then i experienced unlawful acts against me that placed me in prison for 40 years and then physically forced to serve 40years and a day.
639,Not changed,3260,No
106,Education and more info,1093,I now look at things better.
115,Less interested or less belief in system,7858,"[Yes] Before incarceration, I wasn't into politics. I felt it didn't matter because whatever happened it wasn't going to benefit my kind of people If we did benefit it would be minimally."
158,Views on politics,5489,On somethings like the intensity of drug charges
792,Need for change in system,1032,Made me realize that the government doesn't care about us it's all about money
112,Education and more info,5150,"Yes!  now that i understand politics,  is just a conflict between two parties, who's only concern is their personal agenda. 
"
36,Experience related to prison or justice system,3851,I have seen first hand the issuses with prison reform and the plight of the mentally ill
105,Need for change in system,5274,Yes cause as being incarcerated has made me see a need for change in the justice system. For reform in the laws and education for minority communities to realize that voting makes a difference and we need more political leaders of ethnicity.
395,Experience related to prison or justice system,6334,I watch things unfold more clearly in prison then i do when im all busy amd working on the streets
362,I don't know or I don't feel talking about it,7369,Majab
747,"Personal life, including religion and race",7048,Yes because im a gang member
204,More interested,564,I use to not care about prisoners rights
244,Education and more info,1648,"I never realized how many crimes people were needlessly imprisoned for. Nor did I realize how much racism is in the prisons and hatred toward criminals with very little rehab, or counseling services. Nor did I know how much human trafficking had taken over in our own country."
221,Less interested or less belief in system,5713,I just dont care anymore
246,More interested,6421,Befor becomming incarcerated i had no idea about the importance of politics. I believed that there was a sence of justice. I was wrong there is what is true and what the AG wants to be true. The AG is a political position and each AG needs to be needed. If we look at the rate of incarceration and the rate of crime they are totaly out of order
365,Views on politics,4782,I'm more for people who are willing to help us in the system.
344,Views on politicians,5100,Not all politicians should hold office
441,Education and more info,129,Being Locked up gives you  different perspective
593,Not changed,7779,[No]
768,Education and more info,5783,As a young man coming into the system i had no concern about the politics that controlled the do's and don'ts of my life. Since coming to prison i started taking notice of the economical statistics and worldly views ofthe opinions of my fellow people
581,Views on politics,4278,Yes alot
351,Views on political parties,1113,"I am a registered democrate, raised in a predomanantly Catholic town full of staunch
Democrats. My envirorment formed my political bias from a very young age. However, in prison I have seen the republican government take some turns that pleased me."
779,Views on politicians,4289,We are just a number to all politicians and are used for political gain
249,Less interested or less belief in system,6403,Yes in the wrong way
680,Education and more info,5381,I know more about politics.
122,More interested,942,Yes. I believe the my vote can change the way that prisons are ran.
635,I don't know or I don't feel talking about it,8165,Id rather not share
406,More interested,3412,Im more aware of whats going on in my country i actually care now
682,I don't know or I don't feel talking about it,6014,No i cant explain
164,Need for change in system,7695,I feel as though the penal system chases demographics and relies too heavily on statistics to make informed judgements. Too many umbrella classifucation of crimes.
684,Need for change in system,2378,Yes i think that laws should be differnt or pertain more to where you come from and not so much as a general thing.
700,Experience related to prison or justice system,5467,Yes.therr things people never see until you come to prison.there are definately some things need tweeking.
719,Need for change in system,689,Well here's a slice of it once the system gives u a label its like a target on your back that's always seen and judged badly like were just not human then they take basicly all are rights and to top it all off they make these new laws that effect only convicted felons which yeah are political views do take an turn for a change.
662,Views on politicians,7224,"3 and a half years ago i was more democrate.
Hillary,pelosi, shiff changed that.
Evil people their."
239,Experience related to prison or justice system,3074,"Before i was with prison for all criminals, but now seeing it in person i think thatvthere are alternatives"
83,Need for change in system,4956,"""""criminal justice reform"""",,,!!!!! This is a political sickness"
559,Education and more info,2359,News
295,Views on political parties,2235,Republicans have the most money and stability. I realize i lack these important things supporting democrat
677,Need for change in system,4846,I definately have lost all respect for the system in regards to reform an rehabilitation. So much money is set aside for programs an education so people don't have to continue on in this vicious cycle.
70,Education and more info,4596,It has given me a clear view of what america is
541,More interested,5685,Well before. I wasnt. Into politics. Now im very interested.
518,I don't know or I don't feel talking about it,1367,Good
98,More interested,631,Yes but what good are they when you can't vote!
691,Need for change in system,5887,Society has neglected me and i am injustly incarcerated.i could not afford proper representation.
737,Education and more info,7027,"I've become more informed of the political climate and what is happening to this country as time goes by. Honestly, I think that only comes from age, though, not being incarcerated."
519,More interested,6177,"Porque a un estando preso puedo aportar a la sociedad. Dicen que cuando uno cae preso, uno esta muerto para la sociedad. Votando no solo demuestro que existo, si no tambien puedo elegir el mejor candidato para el pueblo o naciÌ_n."
127,Experience related to prison or justice system,6687,"Because it getting worser for a person being locked up and getting no help to make them better , plus staff that are white treats the non-white prisoners raicist and constantly setting them up for either being placed in the hole or worst a new case."
671,Education and more info,4329,I now have time to see the crap the political system is doing to the poor and uneducated
1,Education and more info,72,I now listen to both sides before forming an opinion.
528,Education and more info,4314,Yea because now tru.the tv news ive been more informed about what is going on with our governors and what theyre doing for the community and people on this country
308,Views on politics,3005,[Yes]
410,More interested,7272,Ive become aware of a multitude of social injustices being perpatrated in todays society that i was unaware of before
171,More interested,5551,Its made me more aware of decisions or new laws made by the judicial branch But also take a good look at how decisions and what decisions are most important to me
417,Education and more info,8015,Yea dont really get polixal poltics
675,Education and more info,2353,Cuz alot.of people give me ideas
460,Views on political parties,119,I stand more on the Republican side but still have Democratic views.
692,More interested,3069,"I really never paid much attention to politics and I am ex military so pretty much I always thought that the democrats were always antimilitary and only the republicans ever did anything good for our troops. Now that I actually pay attention to politics I see both sides have good views and bad views, well they use to until lately when the democrats started to try and change the US into a socialist government."
423,More interested,7372,I am more interested now
315,Views on politics,7249,Yea
376,Views on politicians,4721,Most definitely because of how this President has no regards for a person that's incarcerated...
524,I don't know or I don't feel talking about it,5623,Good
693,Education and more info,6893,I have grown emotionally to understand the worlds problems.
438,Need for change in system,3856,I beleave the justice system needs help it has lots of falts.  Like two people can do the same crime and one will get like 3 years and then the other one will get 25 i bleave that everyone should be treated equaly no matter what.
587,More interested,2174,It made me want to regester to vote.
150,Education and more info,7781,"[Yes] Before being incarcerated I can't necessarily say I had any political views. I may not still be able to articulate my views exactly, but I am more motivated to learn more about politics and to work toward reforming those issues I deem important."
798,Views on political parties,6600,I use to think the demorcratic party was for black the i realized thier party is responsible for mass incarceration for blacks.
643,Views on political parties,2449,Yes because i am explained the politics and have a variety of opinions and out looks on politics from diffrent racial groups and individuals of both republicans and democrats
409,Education and more info,1086,Since being incarcerated I have been able to keep up with the news and look at what I believe is the bigger picture and the possible outcomes of those we choose to represent us.
143,Experience related to prison or justice system,3554,I feel like they tell us one thing and do a other
526,Experience related to prison or justice system,2397,Treatment towrds inmates from deputys
687,Views on politics,2273,aALL THE MORE REASON FOR GUN CONTROL!!!
208,Views on politicians,1129,Yes I don't trust politician
440,Not changed,2763,[No]
131,Education and more info,7752,[Yes] Read more and not just vote for who ever family & friends say to vote for
380,Not changed,4933,No
174,Not changed,7787,[No]
533,Experience related to prison or justice system,7553,[Yes] Yes this being my first bid I never understood the impact being incarcerated has on families and loved ones. So my political views toward the rules or laws that cause one to be incarcerated have changed.
270,Need for change in system,3740,That.crimes need a seperate bracket in the.penal system and women can easily now play rape and once deemed a victim of trafficking is a way for most to keep on with out ever being looked at get out of legal system card a flaw its okay to engage in sex with a 16 year old but god for bid you send or recieve a naked flick by the chick child explortation another fucked up way to just get a conviction kansas dont care if you.innnocent if you was first being.looked.at for.jay. walking do to them being corruppt they.just.book you.for.every little.thing.keep you locked up see.the.state.of.kansas has the.lowest reoffender rate becuasee they take all your years by 20. Plus years to make it look good.but.its they make you.stay in longer
407,Experience related to prison or justice system,7030,"My views before this concrete kasket you call a cell, were misguided, adolescent, sophmoric at best, but being locked in this cell for 23-24 hours a day for about 12 years straight has opened my eyes, heart, and mind to many things, thus the formulation of my political beliefs as the are today."
688,I don't know or I don't feel talking about it,8147,I just want to get some points to finish my movie.
123,Less interested or less belief in system,3602,Im more interested
138,Education and more info,6609,Because i actually watch the news now. Before i didnt know or understand what was going on.
51,Not changed,1834,N/a
275,Need for change in system,943,I want better rights for inmates
772,Need for change in system,5302,I think.politics dnt really help those who are incarcerated the only hurt...no resources or real reform or oppotunities to help people transtion back into society
342,Not changed,2151,No
256,Views on politics,8169,Yes
182,Views on politics,4001,My view on gun control
300,Views on political parties,2467,"Many killings have been happening, including familys with little kids and babys. Its not ok, i say. Democrats and repoblicans should not be focused on what the president did or did not do. Elswere, to pay attention on ower poeple and the things thats going on around. Goverment has the eye in the sky, why not use it correctly."
608,Need for change in system,2559,Justice is unfair
240,Need for change in system,7191,Ive lost faith and intrest in the justice system
230,Need for change in system,6845,I beleive that the justice system needs to be the same across the board for every state because Montana is very far behind considering i was violated on my parole for something the federal courts have ruled on it being an illegal condition to give to anyone in any state
326,More interested,546,I did not care about it when I was out now I can get out but I have no where to go
458,Experience related to prison or justice system,5554,Yes i see the injustice prisoners go threw and i feel no one is doing nothing about it. Thats the reason why iam a big follower of Paul Wright and his team . He publishes the prison legal news newspaper which i get
465,I don't know or I don't feel talking about it,2406,Ok
163,More interested,6314,Seeing and hearing what I have from other inmates makes me want to vote to try to get better officials voted in to stop corruption and have a fair and honest legal system.
167,Education and more info,4859,I now tend to see how much electing the right people can efect change nnation wide and localy
145,Education and more info,814,I learned more about my original political views in detail and realize I was wrong .
206,Views on politics,213,I used to be mostly liberal now I'm conservative
500,More interested,4775,I wish that I could have a voice.
188,Education and more info,3088,I have more time to watch and learn politics
324,I don't know or I don't feel talking about it,6857,Ok
678,Views on political parties,7338,"I use to be a democrate, and they have proven to be crazy."
714,Need for change in system,3902,"It the world we live in, and it is good to see how there trying to make a diffrents."
79,Education and more info,6623,I look at things alot differently
793,Need for change in system,2439,Si que fuese parejo para todos que no hubiera rrasismo.
720,More interested,564,I use to not care about prisoners rights
229,More interested,3360,"People with the right to vote don't care or aren't informed correctly about what is going on in the country. Because I cannot vote, it's 'why bother' if my voice will not be heard."
619,More interested,3986,I've gotten more interested becouse in here i pay attention to the world news. I'm more aware of what's going on out there.
100,Need for change in system,1596,Criminals and the criminal addictive thinkers could always be a lot more conservative per say!
290,More interested,8076,Wanna be a vote to pick who represents us.
444,Need for change in system,2508,Yes i am at this point how i dilike the judicial system n there corrupt ways and how especially humbolt county is so quick to judge evern with out physical evidence
756,Education and more info,1086,Since being incarcerated I have been able to keep up with the news and look at what I believe is the bigger picture and the possible outcomes of those we choose to represent us.
53,Views on politics,1498,Yes
391,Views on politics,4095,"For one we fund to many countries,when that money should go for our veterans,schools,and elderly,our very own tax payers,plus the prison system is one of the largest comodyites behind argriculture,its a scam for states to cheat taxpayers,the u.s.a. has more incarcerated people than any other country.inmates are not considered human no matter their crime.the sentenceing guildlines are far outdated"
770,More interested,2685,"Yes because i pay more attention to politics, and i believe every vote should count if you are a citizen of the united states."
797,Less interested or less belief in system,5582,Money rules
251,Education and more info,421,Redder
499,Views on political parties,458,The political situation has changed . The democrats are wanting socialist government and that leads to the Russian type of life.
475,Education and more info,2779,[Yes] I'm learning more about politics
271,More interested,546,I did not care about it when I was out now I can get out but I have no where to go
44,Not changed,2738,[No]
113,Need for change in system,4637,"Yes because i feel as if ive been fucked on my case , i made one wrong choice now i will suffer for it for the rest of my life. Not right at all."
24,More interested,908,I didn't really care before
211,Need for change in system,5459,"Yes, we need to have people in office who can make the system to help us out and not keep us incarcerated."
169,Views on political parties,5494,"Im more concerned with the state of our econemy and worried that no matter who is in office ,they're going to screw us over on some level jyst to achieve there own agenda"
591,Education and more info,941,Living with people from different backgrounds have opened my eyes to a few of the real problems
776,Education and more info,4197,"I wish to be more in the know, regarding my state, and country."
596,More interested,8053,I have grown more interested in how our goverment works and wish to learn more
520,Views on politicians,4427,Donalt trump in my oponion has alot of issues and he has made our country look bad .
32,Need for change in system,5526,"Prison has shown me the extreme need for prison reform, and the only way to accomplish change is to be informed."
109,More interested,3448,It has made me want to vote knowing that my one vote can make a difference in everyones life and future.
136,Views on politics,1058,"My political view's changed because, I strongly believe that everyone has the right to freedom of speech, no matter what the out come is in your current life!
"
330,Views on politics,1245,Yes
222,Views on politicians,6906,I never thought about the impact of politics and how much they impact us intell trump started messing with our allies and getting away with so much just because he's president. Some poeple are above the law but i believe congress will file criminal chrages
28,"Personal life, including religion and race",6230,Yes it has because I now can see how people of color get.treated compare to white folks not just in prison but outside as well
287,Not changed,3238,No
55,Need for change in system,4011,Because of the injustice in the justice system.
704,Need for change in system,2290,There should be more programs for inmates that are released with no probation no parole. To make it as a productive member in sociaty.
718,Views on politicians,4848,Too many presidents
48,I don't know or I don't feel talking about it,8147,I just want to get some points to finish my movie.
721,Views on political parties,7121,I like the republicans because the would rather have people paying taxes taking care of there family instead of wasting tax payers money living in prison
781,Education and more info,6702,"Never really looked into. Being in prison has changed my views on life. Our living conditions are horrible n nasty. Our crime they just wanna send everyone to prison using court appointed lawyers. Gun residue, self-defense, better plea deals, clean the ciurt houses need to come back. U vote n no change for the low proverty people. I have a work n a decision that things need to change"
545,Experience related to prison or justice system,2676,I dont feel being incarcerated has rights. They try to break our will and say were in jail.. like everyone knows were on our own and helpless.. they treat us like the amimal shelter and we hurt too
477,Education and more info,5146,"My political views have changed since I have been incarcerated because through self-discovery into my own issues that lead me to prison & the recovery process, I have become very interested in the problems our country is faced with & solutions to these issues that involves all of us, especially the issues that involve crime & punishment. Many of these issues can be resolved in the rearing of our children. I had anger issues associated with a traumatic childhood & very dysfunctional parents. Mant times I sought help with authorities who turned a blind eye. My psychological & emotional issues lead me down the path of antisocial behavioral patterns. I was bullied, beaten & tormented for years by abusive parents. I understand why people who are damaged & hurting can be hurtful to others, wanting others to feel rhe pain & suffering they feel inside. This is a serious problem facing this country, not only from the innocent lives destroyed in our schools & neighborhoods but the social & economic issues facing this c"
547,More interested,3455,I am more aware of what is going on
63,Not changed,1478,N\A
413,Views on political parties,4753,Yes in would vote democrat because they are talking about prison reform and such. Republicans are more for more walls and harsher charges. They dont have the same interest for the lower class and dont seem to care.
384,Not changed,8109,No
709,Education and more info,4115,"When I was a solider I believed in the system, since my incarceration I have come across alot of wrong"
322,Experience related to prison or justice system,4483,"I have matured and seen from a different angle the treatment that those who are incarcerated face. People out there think that for petty crimes the offender should serve prison time, not knowing the full extent of what a prison sentence would do to a person for any period of time."
451,Education and more info,4740,Its gives me another view on how this world really means alot not only that when im gone i wannt my kids to be albe to live life without having to worry about certain things or there skin color
622,More interested,6962,"The value of my rights and moral objectives have been raised, how I affect the community and how it can me is of the greatest importance. My voice in prison does not matter to anyone but myself but it should not be that way. We all matter and we all need the oppertunity to contribute our voice."
234,Need for change in system,8138,"Ive spent 18years out of 41 behind bars. My civics ed. Began wit lewinsky, and i thought it was cool. I didnt understand the setup part, the backstabbing, back biting, philabustering opposition to itself, within itself that the political arena is. It has become a.joke to me. I am desensitized to it. I realize now that judges are not beyond reproach, and adultery is not a presidents privacy concern."
557,Views on politics,4919,Yes cause i feel non violent or drug offenders get too lenghty a sentence
462,Education and more info,6429,I am more citical on my opions and my views.
424,Views on politics,7702,They choose who their going to put in office no matter what look at Trump and the ObamaNation.
703,"Personal life, including religion and race",7496,"[Yes] Cuando era joven pensaba diferente, que atora que soy un adulto"
303,Not changed,2967,[No]
705,Need for change in system,7686,They r not helping the crimal people r non violent people
219,Need for change in system,1328,Does nothing for people in prison
759,More interested,3421,Yes ...there is so many smart and intelligent prisoners that would like a chance to vote or even give an opinion to any political questions
296,I don't know or I don't feel talking about it,6857,Ok
21,Education and more info,6048,Because i now know more
420,Need for change in system,4919,Yes cause i feel non violent or drug offenders get too lenghty a sentence
325,Not changed,2351,No
199,More interested,1091,I never paid attention to laws or politics until it directly effected me.
450,Need for change in system,6770,I din'nt know the corruption that the government performed to the citizens before
137,I don't know or I don't feel talking about it,740,I don't have a direct answer
536,Need for change in system,3726,I believe there should be better laws for specfic charges and laws because people are getting too much time for their crime that doesnt make sense
628,Views on politics,2271,Greatly
212,Need for change in system,6708,I think michigan needs so.e reform on its sentencing and treatment of MDOC prisoners
769,Education and more info,4191,I tend to be more open-minded and accepting of others point of view
746,"Personal life, including religion and race",3939,"I don't claim a political party but as of late i have noticed that there has been a want and or need to understand the poor,incarcerated,and others that have been held back.The problem over seas,removal of GOD from everything and how some politicians are really trying to.keep the moral in america intact while others just want to claim an office"
735,Need for change in system,562,"I no longer believe in the judicial system, especially Arkansas. I don't believe in the sentencing guidelines, nor the correctional system in Arkansas. I feel all states should be equal in their sentencing and politically no one looks into Arkansas and their outdated laws and mandates."
505,More interested,3421,Yes ...there is so many smart and intelligent prisoners that would like a chance to vote or even give an opinion to any political questions
650,Education and more info,4915,I've been able to gain more knowledge about politics and the illusion that the votes of the citizens off this country count. Votes don't mean anything.
231,"Personal life, including religion and race",8186,Because i belive that i should not.be locked up.for.some.petty.ass bs
405,Education and more info,7660,"Yes, i think it would change anyone view "
568,More interested,3611,Vote
317,Need for change in system,4637,"Yes because i feel as if ive been fucked on my case , i made one wrong choice now i will suffer for it for the rest of my life. Not right at all."
183,Education and more info,2317,Yes its changed i've never really mentioned them before
685,I don't know or I don't feel talking about it,1985,I dont know.
683,Education and more info,5287,I have gathered/learned more info. concerning surrounding issues.With more info.you can reach a better understanding.
609,Education and more info,3059,I was never into politics on the streets but while in prison i have been trying to better myself as much as i can and being informed with politics just came natrual with trying to better myself and be smarter .
626,Education and more info,7030,"My views before this concrete kasket you call a cell, were misguided, adolescent, sophmoric at best, but being locked in this cell for 23-24 hours a day for about 12 years straight has opened my eyes, heart, and mind to many things, thus the formulation of my political beliefs as the are today."
485,Views on political parties,1962,"I used to be totally Democratic in my thinking, but after three decades, plus of incarceration, my views are more down the middle. I like some Republican views, but not all."
278,Views on politicians,629,Nehru's
630,Experience related to prison or justice system,2657,The way inmates are treated
20,Education and more info,1132,I study More history
170,Views on politics,454,Yes
401,More interested,8233,"Yes,I think its unfair for inmates who are incarcerated who are citizans of the USA,DONT GET TO VOTE,I feel strongly that no matter what are charges if weve done are time and are changing are ways,I feel we should get to vote because it could make a difference.we have a voice,are charges dont define us"
738,Less interested or less belief in system,5454,Goverment number one gangsters
566,More interested,6896,It's made me awhere of my way of thinking
176,Views on political parties,6791,"     I was more inclined to think more like a Republican, now I am more in the middle leaning to the left."
327,Less interested or less belief in system,8105,I mostly dont really care so much anymore my opinion on the subject dosent matter since i cant vote.
198,I don't know or I don't feel talking about it,2495,This would take me way to long to answer I dont feel like typing my answer come talk to me
470,Need for change in system,4846,I definately have lost all respect for the system in regards to reform an rehabilitation. So much money is set aside for programs an education so people don't have to continue on in this vicious cycle.
673,Education and more info,5712,Things and suroundings change your views
266,Views on politics,2971,[Yes] I was once anti-marijuana but I am not pro-pot.
615,Need for change in system,2126,Peace
492,Views on politicians,2957,[Yes] I have seen first-hand how some of the views of elected officials are unrealistic & sometimes even bias. To truly change our country for the best we need our politicians to get real-life feedback and help from people living in the situations they want changed.
130,Education and more info,2770,"[Yes] Time has made me more optimistic and open to new ideas, people rights and freedoms"
338,Education and more info,421,Redder
681,More interested,763,"I am more interested in politics now, and more informed of different parties views."
489,Need for change in system,4637,"Yes because i feel as if ive been fucked on my case , i made one wrong choice now i will suffer for it for the rest of my life. Not right at all."
572,"Personal life, including religion and race",2352,Am a better man
606,More interested,5031,Before i was incarcerated i was apathetic towards the needs of others and my own needs. That has fortunately changed and ive become aware of the history of the issues facing the american people today
193,Views on political parties,384,I identify more with Republicans now
140,Education and more info,2748,[Yes] First I didn't understand the different branches. I still barely understand the constitution and how it applies to goveronment.
416,More interested,3392,I didnt know how much politics dealt with incarceration till incarcerated and it makes me want to beable to help change some of the guidelines by being a vote
660,Need for change in system,3139,I had respect for the jail system rule but now they lost my respect do to the way they mislead us and the amount of time they keep us here is put of control is like they make up law as they go and abuse them them and not follow them and hang us if we do like it.
476,More interested,4391,"ONE OF THE GREATEST THREATS IN PRISONS ARE THE INDIVIDUALS THAT PREY ON THE WEAKER INDIVIDUALS. THEY DO SO BY EMPLOYING SEVERAL MANIPULATIVE TACTICS. I HAVE OBSERVED THAT THE SAME PERTAINS TO POLITICS AS WELL. THE """"PEOPLE'S VOTE"""" IS A CRUCIAL PART TO THE POLITICAL SYSTEM BECAUSE IT IS OUR VOTE THAT DETERMINES WHO WILL TAKE OFFICIAL POSITIONS AND, LIKE IN PRISON, ONE MUST LEARN TO LOOK PAST ALL THE GRANDEUR AND SPLENDOR IN ORDER TO DISCOVER THE TRUE INTENTIONS OF OTHER PEOPLE AND TEST THE VERACITY OF THOSE WORDS. WITH THAT BEING SAID, OUR GREATEST DOWNFALL IS GREED AND WHEN WE """"DISCOVER"""" THE BENEFITS OF CERTAIN TITLES AND/OR POSITIONS THEN WE SUFFER THE VULNERABILITY OF CORRUPTION. NOW, WHEN YOU COMBINE BOTH GREED AND POLITICS ONE CAN DISCOVER WHAT REALLY DRIVES THESE INDIVIDUALS IN POSITION. THIS IS WHY I FEEL THAT IT IS CRITICAL THAT WE START PAYING ATTENTION TO WHAT IS REALLY BEING SAID BY POTENTIAL CANDIDATES AND LEADERS SO THAT WE CAN MAKE MORE RATIONAL DECISIONS INSTEAD OF BASING MOST OF OUR DECISIONS OF"
152,Not changed,7474,[No]
716,"Personal life, including religion and race",7963,A todos los q hacen dano
10,Education and more info,7593,"As we become more informed, hopefully we evolve; as does our views."
269,Experience related to prison or justice system,2397,Treatment towrds inmates from deputys
96,Education and more info,6319,"I am less of a """"traditionalist"""" and more versed in civil, criminal, and constitutional law. I've been doing more studying and reading, thus, have grown more informed."
210,I don't know or I don't feel talking about it,3872,I dont know the answer
788,More interested,3095,"Yes,we are a US citizen of our country.We regardles of mistakes and bad choices,our vote and voice should matter."
569,I don't know or I don't feel talking about it,8187,Hokey aset to
548,More interested,7964,Everyone has diffrent oppinions
773,"Personal life, including religion and race",1477,The world is evil
532,More interested,3813,"I never really used to care about what the government did, because I didn't think that it never really pertained to me, but as I choose to grow in prison, I changed my perception on the subject due to seeing that I am partically involved in this country, so I.mow choose to pay attention on how this country is being ran."
745,More interested,6726,"Before,i didn't care about politics,but i care now especially when it comes to the way our president tends to answer things on our behalf."
332,Education and more info,7747,The was is the
75,Education and more info,2747,[Yes] I have the time to listen and conduct a personal analysis of what's real and what's not
77,More interested,6073,Im more aware of the politics
263,Experience related to prison or justice system,2103,Yes because its given.me the ability to see how things opperate from the inside.and.how the tax payers are lied to to gain votes that wouldnt be the same if the people werent being manipulated with propaganda that is being fed to them and therefore causing them to make decisions and allow things that otherwise they wouldnt.
149,Education and more info,4738,Cause i had time to sit and really listen to what they have to say and how they actions effect us in prison... .
744,Need for change in system,7946,My views are strong towards criminal justice reform and democracy
514,Education and more info,6272,They have changed a great deal as i have taken the time to pay attention to the fear that our people have had instilled upon them over the last fifty years due to the addiction rate in our society. This has taken control of our social structure.
750,"Personal life, including religion and race",7546,I always new and felt that no matter what I did I will be looked at like an outsider and a undesirable.
469,More interested,4775,I wish that I could have a voice.
564,I don't know or I don't feel talking about it,5673,I cant at this time
461,Experience related to prison or justice system,7348,"I guess i see how offenders have trouble changing in this enviroment and prison doesnt work, times are changing and so should the penaltys of crimes."
253,Need for change in system,6100,Ive realized that the courts and jails are messed and they do what they do for profit
369,More interested,2206,My political views have i would say have grown instead of changed. You see on the streets i was too busy to read a news paper or watch the news so i was not as aware as i am now of what is happening in our world.
321,"Personal life, including religion and race",2116,Love
695,More interested,2132,"I feel that if everyone had the right to an oppinion (vote), the prison/county jails would not be as full and more people from the prison/jail system would want to vote."
151,More interested,4384,If more people had a voice maybe there would be changes to benefit the incarcerated
302,Experience related to prison or justice system,2397,Treatment towrds inmates from deputys
190,Views on politicians,4633,I realy see who is running this county and how. Fake news affects the out come.
586,Views on politics,3005,[Yes]
348,Views on politics,3029,Yes
243,Views on politicians,6814,I support politicians who truly want to help inmates
87,Not changed,2286,No
655,Views on politics,7733,Yes
726,Need for change in system,4165,"I see now how bad the crim justice system is, and also how many people are in here for meth related crimes
"
418,Education and more info,7312,The fact of incarceration has not changed my reasons but rather facts i have learned since
288,Views on politics,3202,Too many social programs giving no incentive to work
648,Views on politics,7493,I had no views prior to incarceration; now I believe in certain core beliefs of left & right wings
166,Not changed,2949,[No]
595,More interested,3069,"I really never paid much attention to politics and I am ex military so pretty much I always thought that the democrats were always antimilitary and only the republicans ever did anything good for our troops. Now that I actually pay attention to politics I see both sides have good views and bad views, well they use to until lately when the democrats started to try and change the US into a socialist government."
748,Not changed,1380,No
155,Not changed,2969,[No]
356,More interested,5644,"I can't vote, it doesn't pertain to a right I don't have."
381,Education and more info,7234,Yes because my eyes are opened
279,Views on politics,8131,Murder to thos who think wrong obout the goverment....in gods words of speaking...
126,Not changed,1218,No comments
707,More interested,7209,"I never use to care, i figured things are the way they are and i have no say in the matter. I've learned that this statement is false, I live in a country were The People rule and that Voting is a very powerful tool that can be used to change some wrong things that have been going on. The majority of the incarcerated population are minorities. (people of color)... Who knows what would happen, if a whole lot of poor, uneducated incarcerated people started to have hope for a better future and started voting."
22,Experience related to prison or justice system,773,Being incarcerated encourages me to become more political aware
616,Views on politics,6417,I hate politics
665,Experience related to prison or justice system,5534,After seeing how ks treats crimes their own officals committ .ther e is always a cover up they investigate state how we fired them all when the heat is on but once dies down sameones come back after officals leave some even come back permoted to make up for their time off. They just did that here in lansing ks and edcf and hcf.
282,More interested,2159,I thinking voting for felons is a big thing. It allows the system to recongition we to have rights and need to be heard. We experience more then what the average person does who hasnt been incarcerated. Knowledge is power. Experience incarcerated is change.
471,Education and more info,2004,Well yes i used to think donald trump was a good president. Now after reading the newspaper i think he has misused the office and should be impeached
367,Views on political parties,796,"The way the Democratic party is, is the very reason why I would vote Republican!"
25,Need for change in system,2600,"Yes they have immensely!!  I'm ashamed and embarrassed with our Justice System!!  From the police department to the public defender's office, it's downright pathetic the unprofessional conduct and disregard for the people's constitutional and human rights!!!!   It's become a horrible joke that's no where close to humorous!!!"
196,Views on politicians,5865,The impeaching of Donald Trump!
64,Views on political parties,4205,Republicans dont want prison reform but they make you think that they do
15,Education and more info,1673,Because you never know what will happen
466,Education and more info,4914,I want to.keep up with laws and knowing my rights. We never study this until we get locked.up
297,Views on politics,6126,TRUE
621,Education and more info,7523,"[Yes] I used to associate myself as democrat. After reading and researching both major parties, I do not concur with the democrats history or principles."
336,More interested,6310,Because i have a hard time understanding how being in prison makes you less of a citizen and unable to vote like any other citizen who is not in prison.we are less of a person because we made some mistakes
26,Experience related to prison or justice system,4116,Because i am incarcerated for a crime that im actually 100% innocent of i have become interested in finding out who will hold the corrupt goverment officials who wrongfully convicted me responsible and who will oversee these people who think that they are above the constitutional laws that are suppose to protect poor people like me who can prove without a shadow of doubt that i was railroaded by the dirty tricks of the prosecution who knowingly used false evidence to obtain a conviction turning our judicial system into a climate of corruption.
588,Education and more info,1892,Science
43,"Personal life, including religion and race",3200,I won't to do better in my life for my kid's and family
497,More interested,2429,I wont to voice the oppertunetiy for the programs avilble
515,Experience related to prison or justice system,2244,Ive seen that the system has targeted certant individuals and i would like to vote against certant political members.
764,Not changed,5042,Not
561,"Personal life, including religion and race",4225,God' sovenity and his kingdom will come.
454,More interested,7396,I never paid attention befire.
387,Need for change in system,2676,I dont feel being incarcerated has rights. They try to break our will and say were in jail.. like everyone knows were on our own and helpless.. they treat us like the amimal shelter and we hurt too
71,"Personal life, including religion and race",1489,Social
542,I don't know or I don't feel talking about it,1079,Jjhiggghkh kjl on looking ferry gun
456,Views on politicians,6883,I really dont care for our presedent now very racail and hates gays
