Survey_ID,p_change
583,"Now that I can view politics from being a convicted felon, I can now see the lack of understanding or care for incarcerated individuals."
1985,I dont know.
709,Time
3871,Well because of me haveing more time to think
3777,Theyve changed because I can now see or now I pay attention to what is going on around me and how politics are now affecting prisons
1893,Because of the justice reform
7511,[No]
5720,I was only seventeen when I came to prison so I never had a political standing until coming in. Now I am more involved with politics and what happens to the country because it keeps me up to date on the outside world
2126,Peace
6811,Ive payed more attention to polotics.
4519,"I never had an intrest,now that has changed."
6735,Ive realized that anyone who has been elected has not cared or tried to help the incarcerated. I believe there should be other programs that help the root problems of why we commit crimes
4008,"I see voting as a right and should not be a previlage, I see people for who they are amd in order to have a voice, you have to vote a closed mouth cant get feed. I need to share my portion I need to be heard."
2532,I believe more prison reform ahould happen too many people are locked up for corrwetable thibgs
3652,I rather not say.
2732,[Yes] Have learned to read observe and study more on the functions of politics. Especially this process of impeachment
6249,Yes because i understand a little bit now apose to befor i didnt.
6425,They treat sex offernders like shit when it is the least likely to reoffend to any other crime
6474,I now know more about the prison industrial complex
4859,I now tend to see how much electing the right people can efect change nnation wide and localy
6036,Because i want my country to get a right president
260,I know now people just say what we want to here
2087,I feel that if people like myself n
431,"I see that I used to think """"black and white"""" and now over time I think political people make a lot of criminals the way they are"
2514,Want to pay more attention.to wahats goingon in the world.and localy
352,They changed because being incarcerated made me pay more attention to what's going on in the country and how much policy truely affects every person no matter where you are.
3679,Just have put my self around people i usually would not bein around an have herd all different views an beliefs so kinda opens the mind up
5286,NO
2931,[Yes] Because I have been more intuned with the voting on the 65% passing in Florida.
3675,It all about money and prower no mater the cots
625,I care more now that I know more.
183,Becca Trump is out of there
155,"I could have cared less about politics when I was younger. Now I pay more attention to the news and believe that I am better informed to make the decision that I could care less about the politicians that are entrusted with the responsibility of taking care of our country. And we as a country wear our feelings too much on our """"sleeve""""."
7855,[Yes] you have to live it to know it - and I live it every day - we all have a story - and need to be heard - it is the smallest crimes causes the longest time - so I have to fight for me + others
6370,The prison dictates our actions
2879,"[Yes] Never had any before nor did I pay much, if any, attention to current events."
1370,Not
1936,No
525,Don't know
4261,"I use to be ignorant with my views as i didn't really look at the issues, i looked at the politicians who would talk as to whether they seemed trustworthy, i now pay attention to the issues and not who is speaking, i do what homework i can."
923,None
198,I was not very interested in politics when I was not incarceratedNow I am
274,I have become consciously awaken.
7515,"[Yes] I never paid attention to politics after the 2 Bush terms. Then Obama came into office and I see the shift and started to pay close attention. Now with Trump, I'm more focus."
3714,No
7297,I think human trafficing is a crime cummited by the judishel system. Cops to judges
455,Am not free
7109,"As a prisoner befoe i tusted in the law where you did your crime you do the time,however,continuing to keep prisoners locked up past their discharge dates is unethical and wrong."
7647,Yes am very depressed
1021,I see how messed up prison systems are from the state level now
562,"I no longer believe in the judicial system, especially Arkansas. I don't believe in the sentencing guidelines, nor the correctional system in Arkansas. I feel all states should be equal in their sentencing and politically no one looks into Arkansas and their outdated laws and mandates."
472,"I went from being a casual observer, to doing in depth studying and research and coming to the conclusion that I was a independent moderate. I believe in balance and compromise. I agree with the Conservative platform of being fiscally responsible, lowering taxes, and keeping government out of our everyday life however I disagree with the Conservative ideology of (pulling yourself up by your bootstraps) because there are situations when people do need a hand up and not necessarily a hand out. I somewhat disagree on their economical concept of (the trickle down effect). Stats have repeatedly shown that when corporations do good profits go to the stock holders and board members and not so much to the everyday working class average Joe. I agree with the Liberal platform of government correcting the abuses of society but not so much in leftist platform of tearing down the government and starting completely over.  Since then my political views have changed even more. I now identity myself as a Liberal Democrat. The"
3407,"I used to be strictly partisan, but now that I understand how important it is to work across the aisle I've taken a different approach to listening to government officials and their views on problems facing our country. I registered to vote as a Democrat, but now I think that I am more of an independent."
4250,I now have God in my life and many of my views have changed
5732,Sls
4511,I have been watching a lilltle more pn politics then i was on the streets
6521,I dont give a fuck
7,I never considered the prison population or prison reform before i came here.  Plus i never considered socioeconomic issues that predisposed people to become incarcerated
5295,Oh ya you find out who your friends are.....
1360,I didn't know how broken the justice system was until I was in it.
7073,"Well i have done a lot of wrong as a criminal yes but i have to get bunished or repremanded for my wrong , when the goverment or goverment enntities do wrong they get away with it like ellgal revokationb becase a laywer can not give input on parole hearrings only to over see so as the mojority politacal strong suite they do as they feel"
5613,The in-fighting between parties
103,Before incarceration I was too busy with my addictions and my own problems to care. Since having had time to slow down without worldly distraction I have come to understand that this is not okay and it is very important for me to care and to teach my children to care.
2409,I USE TO NOT CARE AT ALL ABOUT POLITICAL DRAMA. BUT SINCE MY LAST INCARCERATION I STARTED TAKING AN INTEREST.
6881,"My political views have changed in the fact i'm becoming more aware of how the governments (state,federal) are interacting with my situation of being locked up in the penological system and how who is in the whitehouse can have a dramatic effect on the people incarcerated. "
5249,We need a better justice system and people who care
5075,No
6130,Yes because its the first time ive head my head clean and had more time to follow.
5333,I hate my country now
1675,I want freedom
2775,I have now had the experience to treatment of D.O.C. and I tell that more should be done to help inmates on the inside & outside.
3942,I used to not care about who was president as long as they did it with integrity and responsibly. Now I would like to see president reunite this country to achieve great things.
3005,[Yes]
3355,"Well when i was free, i didnt think very much about politics. It was not until i got incarcerated that i realizzed that now that i have to register for the rest of my life that i know now that politics are going to effect me very much so now"
1894,A lot that I am aware of
6477,I wach the news more
7894,[Yes] Because you actually get to see the results of what laws are passed that effect Human Rights of individuals incarcerated
4700,"I have become more aware of the political world, which has allowed me to become more open minded about certain situations. "
4360,"Our gorvernment Officals in regards to all positions should always be focused on making America better in all areas.Rather its jobs,education,more good time for prisoners,more helping programs to prepare prisoners to be civilized residents in their communities,regardless of race...It should always be helping the America Nation better."
7573,[Yes] The 13th Amendment says it all.....
4930,I never thought about voting before because I really didn't care about politics and I didn't think it affected me at all.Now I see that it affects me more than I thought.
1459,I've had a lot of time to sit down watch the news and get a better understanding of what's happening in the world
3285,I've experinced being treated unfairly because im black
116,I didn't really have a political view or I.Q. before coming to prison. I just never paid attention to that issue.
4283,I thought that the system was out to help when i first got in trouble when i was 19. I soon found that was not the case at all. Later in life i became good good friends with a lawyer who told my that the government was fouled in so many ways. Alot of the laws set into place come along after something has happened to a politition like a house or state rep so that they get to keep their seat. But it affects those lower in standing diffrently.  He sat and told me that most lawyers have a quota of people that they must make deals with. For example he would plead my out to a lenghty sentence in prison so that the son of the local DA could get 6 months probation. Then the revolving door begins to move again for those of us who want to do goos in society we are now labled and marked. Even if the laws.were changed it still dont help the real issues.The fact the the system is seriously%$&#ed up.The people who set the laws.in motion are always wanting to make more and more money and will lie to do so.Why dont the
6230,Yes it has because I now can see how people of color get.treated compare to white folks not just in prison but outside as well
4278,Yes alot
5038,"What has politicians done for the criminal.minded accept keep people mentally incarcerated? D.o.c does not stand for department of corrections, it stand for departmemt of corruption. There isn't any reform or rehabilitation for offenders. We are locked away and then forgotten. "
4171,Its whatever
4469,Cause i see the need.to reform prison
3666,I am more aware now' i am older.
273,I care about who is in charge
7361,I have paid attention more to the government and political issues on the news and tv.
5164,It''really''havent'''changed'much1
5968,Does not bother me
8233,"Yes,I think its unfair for inmates who are incarcerated who are citizans of the USA,DONT GET TO VOTE,I feel strongly that no matter what are charges if weve done are time and are changing are ways,I feel we should get to vote because it could make a difference.we have a voice,are charges dont define us"
6122,I  have learned to hate all polititions equally.
4874,No sex labels no parole no kasper and NO REGISTRATION.
6688,I am more in supportcof border control and deportation of illegal immigrants.
7202,Yes
6709,"Being incaracerated opens ones eyes to alot of thing never thought about before, like pruson reform."
6494,Before.being incarcerated i didnt even pay attention to politics but talking with others and watching the.news.it has.peaked.my interest
1018,I think most of the older cases should be retried and people with drug offense's should get the correct treatment
14,I dont have a view
4796,"I have had more time to become informed.Also because i am trying to make the world a better place, anyway i can.Being incarcerated showed me how fucked up things really are in this country...Somethings NEED to change. I never knew growing up that the government allows the terrible things that happen to us. Then the system systematically silences our voices through the corruption of low level DOC officals for various reasons..."
1485,I see how corruption actually happens
7268,"Being politicaly engaged at every level posable is more important than ever to me. Not only for my own soul, but for the preservation of all that is good. Freedom is not free, and the maintainance of it is certinaly not by ignorance or apathy."
5879,By having a voice
6454,I focus more on what someone stands for and what they are trying to do and where they get there infomation
3354,I am more informed on certain issues. I never paid attention before.
129,Being Locked up gives you  different perspective
608,The change I feel it that both party's are wrong with there view points
7140,I feel like its just a show of polical class and how they want to suduce the normal population into voting for them to create a nation of their beliefs and laws and not the ideals or the pursuit of happiness of their individual freedom to obtain each citizens own American Dream.
2783,[No]
3444,"Well, being on the inside looking out, i can see now where our economy is based on a background judgement and if this country is supposed to be based on freedom and second chances, then why is so hard for the majority of society to grant these seconds chances to people who could have simple made a poor judgement choice or had a bad day?"
7027,"I've become more informed of the political climate and what is happening to this country as time goes by. Honestly, I think that only comes from age, though, not being incarcerated."
2812,[Yes] I think more about reform of the system
2014,No
3797,I have gotten to experience another dimension of where part of the population resides.
5637,My view of the world has shifted. I now know what its like to be on this side.
4496,Ive become more conservative
1230,I can't
8064,Yes it has because i didt use to give a flying motherfuck. Now i do.
1273,I can sit down an watch it more now
6044,I have had more time to study are political office
3881,"Before my incarsiration I was a die hard democrat. Now, several years later, I know my party identification is solely Republican"
6846,I just see a different side of things
289,"Before I was locked up, I really didn't pay attention to the news and the political arenas. Now that I have""""more time"""" to watch the news, I am more concerned and opinionated"
5887,Society has neglected me and i am injustly incarcerated.i could not afford proper representation.
6021,Becouse it shows how manipulitive our goverment has become they do what ever it takes to get what they want so what good does it do its like messure 11 in oregon we voted against it time and time again then we had a vote to save the spotted owl we voted to save an indangered speicies and inso doing voted in messure 11 didnt read the fine print by voting to save an animal we also voted in messure 11 what good does it do against things like that they are going to do what they want anyway why vote we need to whipe the slate back to the basics and start over if you ask me
6699,"Im really just becoming more and more motivated to be aware of whats going on around me. I have a son, so I think its smart to become somewhat educated/aware of the co"
