Primary_Topic_p,Survey_ID,p_change
Education and more info,3819,"It has opened my eyes to alot of things that go on in our society, im not sure if i had political views before being incarcerated, but i have many different views now."
Need for change in system,5231,If the ones who are put in office are against prison reform than we are directly subject to the circumstances.
I don't know or I don't feel talking about it,7369,Majab
Need for change in system,2482,Because of the way the judical system correctional officers etc treat the inmate who are incarcerated very poorly and un addiquate and shouldnt be aloud
Views on political parties,3898,I recognized as a Dem before and then as the years went by I started see things from an inside looking out view and seeing what they really represent and removing my racial identity from the equation and maturing and wanting certain things stopped or started.
Views on politics,4782,I'm more for people who are willing to help us in the system.
Experience related to prison or justice system,3435,I believed in our justice system before being charged and coming to prison and meeting some truly amazing people.
Views on political parties,796,"The way the Democratic party is, is the very reason why I would vote Republican!"
Need for change in system,900,My judicial system is poison
More interested,2206,My political views have i would say have grown instead of changed. You see on the streets i was too busy to read a news paper or watch the news so i was not as aware as i am now of what is happening in our world.
"Personal life, including religion and race",5458,"I am mexican. I believe us mexicans should stop killing each other and unite and take our land back from the united states. If we can , take down this crooked greedy government, and destroy these prisons. Thats just a dream of mine though. Itll never happen. "
Need for change in system,7827,Not everything is fair
Not changed,5811,No
Views on political parties,1542,I have been convinced that Republican ways are better
Education and more info,6795,I have more time to research the issues. The librel interpretation of the constitution has also driven me left. Strict construction of the text is in line with conservatives and nobody likes a freewheeler.
More interested,127,Before I got locked up I had no interest in politics or voting. Now I have More interest in politics because I realize that everyone's view and vote matter's.
Views on politicians,4721,Most definitely because of how this President has no regards for a person that's incarcerated...
Views on political parties,2761,"[Yes] I tend now to highly favor the views of Republicans and what they stand for, and their views."
Not changed,4994,Agian no
Need for change in system,4258,Treat people equally.  Spend more time in court the first time and get tjings correct
Not changed,4933,No
Education and more info,7234,Yes because my eyes are opened
Views on politics,1996,Yes
Need for change in system,4062,Some people are wrong in some inputs
Not changed,8109,No
Views on political parties,6167,I am a registerd demacrat and i deal with prison politics all day long so i go by what i belive i helped put donald trump in office and id do it again in a heart beat he is what we need leave the man to do his job and stop trying to bring him down over fictional facts
Need for change in system,4857,Ok look my view of jobs in prison we all should have a job 400.00$ per month per inmate would help the keeping prison up and for keeping them working to feel they did something. Pay our childsupport and help our children on the out side. The crime would go down. Things in here like rofw bib leadership toast masters all can help. Plus those that want to educate themself like me getting my accociate degree. Buti cant afford every class nor when i get out will i have much to start over on. Right now they act racist agaist certain cases for what to not let them be able to have a chance in life. Some cases like mine if they had investigated at the first i wouldnt be here now. Now me and those involved have to go to topeka ks to try to show the proof we have to finally clear my name because the didnt want to address it in court while in prison.
Need for change in system,2676,I dont feel being incarcerated has rights. They try to break our will and say were in jail.. like everyone knows were on our own and helpless.. they treat us like the amimal shelter and we hurt too
Education and more info,7564,"[Yes] As i get older i understand now its us the people who can make a change for years to come,"
Experience related to prison or justice system,7905,The way we are treated in here we are like cows not human it all about money thay dont wont you to better your self so you keep coming back
Education and more info,489,I've learned more about it then I've known before.... I wasn't really into it then like I am now...
Views on politics,4095,"For one we fund to many countries,when that money should go for our veterans,schools,and elderly,our very own tax payers,plus the prison system is one of the largest comodyites behind argriculture,its a scam for states to cheat taxpayers,the u.s.a. has more incarcerated people than any other country.inmates are not considered human no matter their crime.the sentenceing guildlines are far outdated"
Views on politicians,6036,Because i want my country to get a right president
More interested,602,It makes me want to vote more
Education and more info,7691,Yes i look into things more
Experience related to prison or justice system,6334,I watch things unfold more clearly in prison then i do when im all busy amd working on the streets
More interested,5653,"I am in a state that does not allow any felons vote if incarcerated, on probation, or on parole/post-release."
Education and more info,3262,More time to sit down and watch news and get answers
I don't know or I don't feel talking about it,7149,Re
Views on politicians,5136,"News media and politicians spend to much time on crime and the negative side of it for ratings, elections, and political influence.

They should be looking at root causes and how to help, and i mean real help not the kind that just looks good on paper. People should be being prepared to go back out into communities from the first day they walk through prison doors.

Locking people up and throwing away the key no matter what they have done is not the answer and we have created big bussiness from this. Instead of being people we have become less than human and money on the foot.

There are other issues with this that i would be more than happy to talk to someone with."
Views on politics,2363,Our gov. Of our great state of cali.knocked alot of time off our sentance for mile stones going to school ect.ect.
More interested,8233,"Yes,I think its unfair for inmates who are incarcerated who are citizans of the USA,DONT GET TO VOTE,I feel strongly that no matter what are charges if weve done are time and are changing are ways,I feel we should get to vote because it could make a difference.we have a voice,are charges dont define us"
Views on politics,8242,I dont agree with our law enforcement
Education and more info,3354,I am more informed on certain issues. I never paid attention before.
"Personal life, including religion and race",6902,My crime
Education and more info,7660,"Yes, i think it would change anyone view "
More interested,3412,Im more aware of whats going on in my country i actually care now
Experience related to prison or justice system,7030,"My views before this concrete kasket you call a cell, were misguided, adolescent, sophmoric at best, but being locked in this cell for 23-24 hours a day for about 12 years straight has opened my eyes, heart, and mind to many things, thus the formulation of my political beliefs as the are today."
Experience related to prison or justice system,4773,Look at how bad it is and compare this hell hole to a modern day plantation. Wouldnt you want better conditions of you were poor?
Education and more info,1086,Since being incarcerated I have been able to keep up with the news and look at what I believe is the bigger picture and the possible outcomes of those we choose to represent us.
More interested,7272,Ive become aware of a multitude of social injustices being perpatrated in todays society that i was unaware of before
Not changed,2783,[No]
More interested,2308,"As aperson that has been incarsuated. I've come to the realization that, it is verry important for all members of a society of people to let their voice be heard in the political ralms of government."
Views on political parties,4753,Yes in would vote democrat because they are talking about prison reform and such. Republicans are more for more walls and harsher charges. They dont have the same interest for the lower class and dont seem to care.
Need for change in system,2227,Jailing us for petty shit
Views on politics,5868,They have
More interested,3392,I didnt know how much politics dealt with incarceration till incarcerated and it makes me want to beable to help change some of the guidelines by being a vote
Education and more info,8015,Yea dont really get polixal poltics
Education and more info,7312,The fact of incarceration has not changed my reasons but rather facts i have learned since
Experience related to prison or justice system,7636,Some of the laws about being incarcerated and the rule behind bars that have been put on us inmates
Need for change in system,4919,Yes cause i feel non violent or drug offenders get too lenghty a sentence
Not changed,3550,Np it has not Bc the system has change is remains the same
Need for change in system,3560,In the amount of time spent there has been an outragious number of shooting's due to gun violence a major here.
More interested,7372,I am more interested now
Views on politics,7702,They choose who their going to put in office no matter what look at Trump and the ObamaNation.
Need for change in system,2683,The system is corroupt
Views on politics,7991,Yes
Not changed,2755,[No]
Education and more info,768,Ii was a juvenile when incarcerated. Naturally things have changed
Not changed,7296,No
More interested,5105,"Ive become more conscious of how important the voice of the american people is when it come to human rights,enviormental laws, and education bills."
Views on politics,3915,Politics are worried about them and the money they can raise for there campain
I don't know or I don't feel talking about it,8229,Okokok
More interested,7141,I am more involved in whats goin on in the world now
Education and more info,3955,Yes.  Prior to my incarceration I had no idea of the impact politics plays on the whole crime and punishment issue.  Now I understand that locking up people is one of the greatest tools a politician has to keeping himself employed at an inordinately high pay scale for mostly useless work.  Politicians spend an awful lot of money feeding other countries' incomes and helping wealthy Americans stay wealthy while bleeding the lower and middle class families' incomes dry.  They are exceptionally good at creating ways to keep incarcerated people incarcerated and growing the number of people incarcerated in order to fuel the American prison industry.  What they are clearly not willing to do is find ways to get people out of prisons and back into society as productive citizens. Kansas is a good example.  A person convicted of a murder has to perform nearly impossible feats to have any hope at all of getting out of prison alive.  Yet Lifers on average have an unbelievably lower recidivism rate than any other group. Kansas is a good example.  A person convicted of a murder has to perform nearly impossible feats to have any hope at all of getting out of prison alive.  Yet Lifers on average have an unbelievably lower recidivism rate than any other group
Not changed,4033,No
Views on politics,5366,Yes
Need for change in system,2240,"Yes,because of misconduct from the local judicial system and the people who manage it i may be going to prison for a rather heinous crime i did not commit. I was arrested and spent 352 days in jail to be given a deal, but to get the deal i had to wave all of the day's i spent in incarcerated and they would give me credit for time served (which amounted to a whopping 60days) so i had to wave 292 days and plead guilty to something that i didnt do,(but after a year a person is more then ready to get out of jail at almost any cost) So they told me if i plead guilty to 1 of my 2 charges i get creadit for time served with 5 years probation, and that is all my peice of _ÙÕ© attorney said to me in the court room. So i signed the proposed deal, and little did i know that to get off of probation i was going to have to attend a sleugh of classes (among other things) and the cheepest class amounted to somewhere in the $20.00 a week range for almost a year and the most expensive cost almost $50.00 a week for 52 weeks not "
Need for change in system,3856,I beleave the justice system needs help it has lots of falts.  Like two people can do the same crime and one will get like 3 years and then the other one will get 25 i bleave that everyone should be treated equaly no matter what.
Education and more info,6709,"Being incaracerated opens ones eyes to alot of thing never thought about before, like pruson reform."
Not changed,2763,[No]
Education and more info,129,Being Locked up gives you  different perspective
More interested,215,I use to think if you were in prison or had been that you should not have the right to vote
More interested,5011,"I never cared to vote at all until I realized that while my vote in Presidential races really dpn't matter because of the Electorial College System, but it counts in the State and local races; so I am morely to vote for State and Local officials."
Need for change in system,2508,Yes i am at this point how i dilike the judicial system n there corrupt ways and how especially humbolt county is so quick to judge evern with out physical evidence
More interested,6133,I never really had a political view till i came to prison an now i have started to pay more attion to it
Less interested or less belief in system,5589,The people pay there bill so thay work for the people and that is it.
More interested,377,Before being locked l had no interest in politics
I don't know or I don't feel talking about it,7955,Not sure
More interested,4302,"Yes, i have been paying more attention to the government news"
Need for change in system,6770,I din'nt know the corruption that the government performed to the citizens before
Education and more info,4740,Its gives me another view on how this world really means alot not only that when im gone i wannt my kids to be albe to live life without having to worry about certain things or there skin color
Education and more info,312,Am much more informed now on foreign policy
More interested,6865,I am more aware of the leftist democrats
More interested,7396,I never paid attention befire.
More interested,6274,Im more aware
Views on politicians,6883,I really dont care for our presedent now very racail and hates gays
More interested,745,Before I didn't care about prisoners reform
Experience related to prison or justice system,5554,Yes i see the injustice prisoners go threw and i feel no one is doing nothing about it. Thats the reason why iam a big follower of Paul Wright and his team . He publishes the prison legal news newspaper which i get
More interested,3373,"I had no political views before, I never followed politics."
Views on political parties,119,I stand more on the Republican side but still have Democratic views.
Experience related to prison or justice system,7348,"I guess i see how offenders have trouble changing in this enviroment and prison doesnt work, times are changing and so should the penaltys of crimes."
Education and more info,6429,I am more citical on my opions and my views.
Education and more info,6647,I now know more
More interested,222,I didn't care about politics then
I don't know or I don't feel talking about it,2406,Ok
Education and more info,4914,I want to.keep up with laws and knowing my rights. We never study this until we get locked.up
Less interested or less belief in system,5812,They all think were the scum of the earth
Need for change in system,3434,"People being incarserated for one. People with the crimes of rape, child molestation, and murder get less crimes then people with drug charges. There isn't enough rehabilitation out there people such as Judges, DA, and even higher in rank are just quick to throw away the key rather then help. We put all this money into just locking people away instead of trying to invest in making them better. The money waisted on inmates that could have been given a chance to find help rather be thrown away first chance could have been put on our childrens educations, creating environments to take kids off the streets and teach them other things outside drug dealing and street husseling. We waist so much money yet none of it helps our yoitb the next generation become better then we ourselves have became."
More interested,4775,I wish that I could have a voice.
Need for change in system,4846,I definately have lost all respect for the system in regards to reform an rehabilitation. So much money is set aside for programs an education so people don't have to continue on in this vicious cycle.
Education and more info,2004,Well yes i used to think donald trump was a good president. Now after reading the newspaper i think he has misused the office and should be impeached
Need for change in system,4536,Please refer to my previous answer.
Less interested or less belief in system,6166,Yes and no they are making time harder to do
Education and more info,6654,"Well, before my coming to prison I disliked all law enforcement. As ive grown ive come to look at thing a lot differently. I choose to view things through others eyes and understand where they're coming from."
Education and more info,2779,[Yes] I'm learning more about politics
More interested,4391,"ONE OF THE GREATEST THREATS IN PRISONS ARE THE INDIVIDUALS THAT PREY ON THE WEAKER INDIVIDUALS. THEY DO SO BY EMPLOYING SEVERAL MANIPULATIVE TACTICS. I HAVE OBSERVED THAT THE SAME PERTAINS TO POLITICS AS WELL. THE """"PEOPLE'S VOTE"""" IS A CRUCIAL PART TO THE POLITICAL SYSTEM BECAUSE IT IS OUR VOTE THAT DETERMINES WHO WILL TAKE OFFICIAL POSITIONS AND, LIKE IN PRISON, ONE MUST LEARN TO LOOK PAST ALL THE GRANDEUR AND SPLENDOR IN ORDER TO DISCOVER THE TRUE INTENTIONS OF OTHER PEOPLE AND TEST THE VERACITY OF THOSE WORDS. WITH THAT BEING SAID, OUR GREATEST DOWNFALL IS GREED AND WHEN WE """"DISCOVER"""" THE BENEFITS OF CERTAIN TITLES AND/OR POSITIONS THEN WE SUFFER THE VULNERABILITY OF CORRUPTION. NOW, WHEN YOU COMBINE BOTH GREED AND POLITICS ONE CAN DISCOVER WHAT REALLY DRIVES THESE INDIVIDUALS IN POSITION. THIS IS WHY I FEEL THAT IT IS CRITICAL THAT WE START PAYING ATTENTION TO WHAT IS REALLY BEING SAID BY POTENTIAL CANDIDATES AND LEADERS SO THAT WE CAN MAKE MORE RATIONAL DECISIONS INSTEAD OF BASING MOST OF OUR DECISIONS OF"
Education and more info,5146,"My political views have changed since I have been incarcerated because through self-discovery into my own issues that lead me to prison & the recovery process, I have become very interested in the problems our country is faced with & solutions to these issues that involves all of us, especially the issues that involve crime & punishment. Many of these issues can be resolved in the rearing of our children. I had anger issues associated with a traumatic childhood & very dysfunctional parents. Mant times I sought help with authorities who turned a blind eye. My psychological & emotional issues lead me down the path of antisocial behavioral patterns. I was bullied, beaten & tormented for years by abusive parents. I understand why people who are damaged & hurting can be hurtful to others, wanting others to feel rhe pain & suffering they feel inside. This is a serious problem facing this country, not only from the innocent lives destroyed in our schools & neighborhoods but the social & economic issues facing this c"
More interested,4499,I am less judgemental and more aware of reality vs. entertainment.
More interested,4654,Cause it limits the way i can help the comunity or put my point of veiw to the ones who would listen.
Less interested or less belief in system,1771,Yes I will never get involved in a election again. I fill if I had not helped in the election for sheriff in 2006. I would not be here now.
Need for change in system,7949,"Yes. I realized that since being incarcerated, my political view has changed because i am a felon and although ive made a huge mistake it doesnt mean im a horrible person. I am stuck in prison for twenty five years and charged as a juvinile for murder.we now have a mass incarceration since ive been locked up and i am part of the problem.ive learned my lesson but am stagnet in here now just awaiting my lengthy release date. I am stuck doing a long term minumum and the only ones who can change this issue is the government and more than likeky republicans always win.they are against prisoners like myself."
Not changed,7871,[No]
Less interested or less belief in system,2322,Yes they have cause its kinda like i just dont care anymore.
Views on political parties,4984,"I used to believe Democrats were the ideal system, now I don't. I think government is too involved in individuals lives and democrats are restricting the individual's right and freedoms too much."
Views on political parties,1962,"I used to be totally Democratic in my thinking, but after three decades, plus of incarceration, my views are more down the middle. I like some Republican views, but not all."
I don't know or I don't feel talking about it,5827,Ok
More interested,6896,It's made me awhere of my way of thinking
More interested,2298,I have been made more aware of how much we struggle socially
Need for change in system,4637,"Yes because i feel as if ive been fucked on my case , i made one wrong choice now i will suffer for it for the rest of my life. Not right at all."
Need for change in system,1294,I want to vote for the candidates that Will provide the most rehabilitative programs for addicts prisoners mentally I'll etc.
I don't know or I don't feel talking about it,1017,You
Views on politicians,2957,[Yes] I have seen first-hand how some of the views of elected officials are unrealistic & sometimes even bias. To truly change our country for the best we need our politicians to get real-life feedback and help from people living in the situations they want changed.
Education and more info,7314,"Now being older, I can see crouckedness, more in peolpe than before."
"Personal life, including religion and race",6874,Alot cause I cannot help change my tribe to help find help for pur family.
Need for change in system,4874,No sex labels no parole no kasper and NO REGISTRATION.
Need for change in system,7365,Yes cause i. Got a closer look first hand how currupt n dirty our legal system is which falls right back to our goverment
More interested,2429,I wont to voice the oppertunetiy for the programs avilble
Experience related to prison or justice system,7707,The state puts me in a privately owned dwelling the prisons are privately ran and owned?? Over misdemeanor crimes on christmas...charges me to be here and im cold and hungry??
Views on political parties,458,The political situation has changed . The democrats are wanting socialist government and that leads to the Russian type of life.
More interested,4775,I wish that I could have a voice.
More interested,1276,My attitude has changed a lot the way I carry myself as a human being I care a lot more and I don't tolerate a lot of ignorance...
Education and more info,3537,Ive learned a little more
More interested,3116,I am a felon now i can not vote
Views on political parties,7938,I used to be very republican inclined yet I now gravitate to democracy
More interested,3421,Yes ...there is so many smart and intelligent prisoners that would like a chance to vote or even give an opinion to any political questions
I don't know or I don't feel talking about it,805,Andrew
Views on politics,3891,On some things
More interested,2685,"Yes because i pay more attention to politics, and i believe every vote should count if you are a citizen of the united states."
More interested,2060,The laws are set and i have no say so in them being passed or denied.
More interested,6337,Now i care
Education and more info,7780,[Yes] I now have political views and opinions of how I want things to be. I now understand how politics affect my life
Views on politics,7961,Yes it makes me realize about politcal views
Views on politicians,612,Yes because of the ways the President does things that are no good for Hispanic people
Education and more info,6272,They have changed a great deal as i have taken the time to pay attention to the fear that our people have had instilled upon them over the last fifty years due to the addiction rate in our society. This has taken control of our social structure.
Experience related to prison or justice system,2244,Ive seen that the system has targeted certant individuals and i would like to vote against certant political members.
More interested,1074,"I was incarcerated in 1996, five months after I turned 21 years old, and I didn't care about voting then.  I was too wrapped up in using substances to dull my emotonal pain from childhood trauma to worry about having political views or being civic-minded.  Now, though, after 23 years in prison, I realize how greatly I'm affected by the laws and the political climate.  I have spent years as a Paralegal (from a Blackstone Legal Assistant certification) researching the law and standing up for civil liberties of incarcerated men like myself.  I have a case in the 8th Circuit Court of Appeals number 19-1995 challenging Arkansas' use of unpaid prisoner labor as unconstitutional because 45 (or 48 depending on the source) other states pay their prisoners for labor.  I also have a lawsuit challenging the prison mail policy as violative of the Arkansas Constitution's equivalent of the 1st Amendment.  Before I came to prison, I wouldn't have even known about these issues or cared about another man's civil liberties, but"
Views on politics,6547,Have
I don't know or I don't feel talking about it,1367,Good
More interested,6177,"Porque a un estando preso puedo aportar a la sociedad. Dicen que cuando uno cae preso, uno esta muerto para la sociedad. Votando no solo demuestro que existo, si no tambien puedo elegir el mejor candidato para el pueblo o naciÌ_n."
Views on politicians,4427,Donalt trump in my oponion has alot of issues and he has made our country look bad .
I don't know or I don't feel talking about it,1501,Can't see the question
More interested,4391,"ONE OF THE GREATEST THREATS IN PRISONS ARE THE INDIVIDUALS THAT PREY ON THE WEAKER INDIVIDUALS. THEY DO SO BY EMPLOYING SEVERAL MANIPULATIVE TACTICS. I HAVE OBSERVED THAT THE SAME PERTAINS TO POLITICS AS WELL. THE """"PEOPLE'S VOTE"""" IS A CRUCIAL PART TO THE POLITICAL SYSTEM BECAUSE IT IS OUR VOTE THAT DETERMINES WHO WILL TAKE OFFICIAL POSITIONS AND, LIKE IN PRISON, ONE MUST LEARN TO LOOK PAST ALL THE GRANDEUR AND SPLENDOR IN ORDER TO DISCOVER THE TRUE INTENTIONS OF OTHER PEOPLE AND TEST THE VERACITY OF THOSE WORDS. WITH THAT BEING SAID, OUR GREATEST DOWNFALL IS GREED AND WHEN WE """"DISCOVER"""" THE BENEFITS OF CERTAIN TITLES AND/OR POSITIONS THEN WE SUFFER THE VULNERABILITY OF CORRUPTION. NOW, WHEN YOU COMBINE BOTH GREED AND POLITICS ONE CAN DISCOVER WHAT REALLY DRIVES THESE INDIVIDUALS IN POSITION. THIS IS WHY I FEEL THAT IT IS CRITICAL THAT WE START PAYING ATTENTION TO WHAT IS REALLY BEING SAID BY POTENTIAL CANDIDATES AND LEADERS SO THAT WE CAN MAKE MORE RATIONAL DECISIONS INSTEAD OF BASING MOST OF OUR DECISIONS OF"
Views on politics,2273,aALL THE MORE REASON FOR GUN CONTROL!!!
I don't know or I don't feel talking about it,5623,Good
Views on politics,2101,Have
Experience related to prison or justice system,2397,Treatment towrds inmates from deputys
Education and more info,8063,I learned about different political views in prison .
Education and more info,4314,Yea because now tru.the tv news ive been more informed about what is going on with our governors and what theyre doing for the community and people on this country
Not changed,7769,[No]
Need for change in system,2272,"I hadn't realized how many innocent peoples lives were being destroyed by our so called """"justice"""" system."
Views on politics,5382,Yes
More interested,3813,"I never really used to care about what the government did, because I didn't think that it never really pertained to me, but as I choose to grow in prison, I changed my perception on the subject due to seeing that I am partically involved in this country, so I.mow choose to pay attention on how this country is being ran."
Experience related to prison or justice system,7553,[Yes] Yes this being my first bid I never understood the impact being incarcerated has on families and loved ones. So my political views toward the rules or laws that cause one to be incarcerated have changed.
More interested,3147,Want to help make change
More interested,2298,I have been made more aware of how much we struggle socially
Need for change in system,3726,I believe there should be better laws for specfic charges and laws because people are getting too much time for their crime that doesnt make sense
Education and more info,4493,Before my incarceration I didnt have any politcal views. But since I have had time to inform myself and educate myself on many things and how they can affect me and my family
Views on politicians,7958,"Now i see that nobody really is on our side. Everyone says they are until they become elected, once that happens they forget all about us"
More interested,4837,"I didn't think they were that important but i realized that """"Voting"""" especially our votes can promote our wishes of wanting a person in office that we believe will reform the judicial system properly into giving certain crimes and circumstances lesser punishments and not using a criminal history against them! "
Need for change in system,2665,Yes need to.stop drug trafficking. I here for a dui. First time.in jail and have seen many thungs that this syatem needs to.change
More interested,5685,Well before. I wasnt. Into politics. Now im very interested.
I don't know or I don't feel talking about it,1079,Jjhiggghkh kjl on looking ferry gun
I don't know or I don't feel talking about it,5239,In a way
"Personal life, including religion and race",1125,Black's don't matter
Experience related to prison or justice system,2676,I dont feel being incarcerated has rights. They try to break our will and say were in jail.. like everyone knows were on our own and helpless.. they treat us like the amimal shelter and we hurt too
Views on politicians,3970,I have seen alot of the political impasses more because the elected officials that are voted in make decisions that truly do effect me as a prisoner in this system.
More interested,3455,I am more aware of what is going on
More interested,7964,Everyone has diffrent oppinions
Education and more info,1862,Before I was incarcerated I didn't keep up with much of the news but now that I do I can see how every persons opinion matters and how important the country needs our votes
Views on politicians,4605,"Yes,because I grew up in a time where the things that are going on in this generation were non-existant back in the eighties,although one thing that's always been true is the level of Racism here in the United States and in other places. And it seems like our presidents are doing nothing about it,but then again we have a little thing called freedom of expression. And it just seems to me that the fat cats in office are just worried about who's got the deepest pockets,and there for Money talks and Bullshit walks."
I don't know or I don't feel talking about it,2673,Idk
Education and more info,3082,Since watching the news all racial status has change alot
More interested,274,I have become consciously awaken.
Views on politics,5700,Yes
Views on politics,1482,Yes
Need for change in system,7282,Prison reform and inmate rehabilitatiom
Views on politics,4919,Yes cause i feel non violent or drug offenders get too lenghty a sentence
More interested,4654,Cause it limits the way i can help the comunity or put my point of veiw to the ones who would listen.
Education and more info,2359,News
Education and more info,3909,Well being in this place you see tinghs more diferent
"Personal life, including religion and race",4225,God' sovenity and his kingdom will come.
Views on politics,5679,They have because i have a view of wanting someone who has respect and common curtisy for themselves and others rather thta has has.money power or fear
More interested,2388,"Now i pay more attention as to what is happening in our country, State, Federal, County, and City, and what the elected officials are doing to """"fix"""" this country. Still much racism exist in this country and in our government."
I don't know or I don't feel talking about it,5673,I cant at this time
More interested,3973,"Because before i didn't care enough about political endeavors, i was inmature to understand the vital importance of it."
More interested,6896,It's made me awhere of my way of thinking
More interested,8022,I need to vote
More interested,3611,Vote
I don't know or I don't feel talking about it,8187,Hokey aset to
More interested,2166,"Yes, because i want to do important things now"
Views on politics,5868,They have
"Personal life, including religion and race",2352,Am a better man
Need for change in system,3139,I had respect for the jail system rule but now they lost my respect do to the way they mislead us and the amount of time they keep us here is put of control is like they make up law as they go and abuse them them and not follow them and hang us if we do like it.
More interested,3094,I really didnt pay attention to politics before i was locked up.but now that i some what have a idea of whats going on in the wirld of politics i would like to have my vote count.
Views on politics,5834,No peace
Experience related to prison or justice system,6597,"I didnt use to care because i really didnt understand anything about politics..but after seeing things that ive seen since being here,it just really made me want to be more active in voting and making my voice heard"
Not changed,1007,No
Education and more info,175,"Before been incarcerated, I only saw to my own problem's, meaning that I wanted the issues that affected me to be of higher priority. Now I see that as a community we need to work on compromises to achieve our goals while helping those around us. This has change how I fuondamentaly see the issues that our nation faces today. Before I used to supporter a particular political party just because they support one issues that I feel strongly about without caring about the rest of their political views. However, now I tend to look deeper into what each candidate supports and not just vote for one party regardless of there views."
Education and more info,6477,I wach the news more
Need for change in system,1974,Because we shouldnt be charged with double jeopardy cases which were taken care of 6 years ago just because this county needs to pay for their jail and courthouse. It is illegal and unconstitutional and now my civil attorney will have to teach this county that lesson. I currently have people contacting media and posting all of this on social media for support
Views on politics,4278,Yes alot
More interested,8194,I think we as a people need to exercise our rights
Not changed,3172,N/a
Views on political parties,4060,Seeing the true colors of the parties.
Experience related to prison or justice system,1988,"Yeah because we always get the but end of the stick, like the saying shit goes down hill an we are down hill"
Views on politics,3005,[Yes]
More interested,2174,It made me want to regester to vote.
Education and more info,1892,Science
More interested,7966,I am gonna try and get my rights to vote back
Need for change in system,2329,Yes because you found out how unfair its the justice sistem how unequal its the court sistems when your not white
Education and more info,941,Living with people from different backgrounds have opened my eyes to a few of the real problems
Experience related to prison or justice system,4567,People on the outside don't see what really goes on in prison. It's way different when youre doing time in prison then when you just see or read about it.
Not changed,7779,[No]
Education and more info,8062,"I was never really informed on this countries polotics nor felt like it affected me but now i stay more informed ,have an opinion, and feel i am affected alot"
More interested,3069,"I really never paid much attention to politics and I am ex military so pretty much I always thought that the democrats were always antimilitary and only the republicans ever did anything good for our troops. Now that I actually pay attention to politics I see both sides have good views and bad views, well they use to until lately when the democrats started to try and change the US into a socialist government."
More interested,8053,I have grown more interested in how our goverment works and wish to learn more
Experience related to prison or justice system,2103,Yes because its given.me the ability to see how things opperate from the inside.and.how the tax payers are lied to to gain votes that wouldnt be the same if the people werent being manipulated with propaganda that is being fed to them and therefore causing them to make decisions and allow things that otherwise they wouldnt.
Experience related to prison or justice system,4430,Yes it has because im seeing things first hand
Need for change in system,5665,Yes to manny child molesters in thegoverment
Education and more info,6397,Well it give me time to see the news and see it more better by talking to diferent people
I don't know or I don't feel talking about it,5561,On
Views on politics,7933,Yes
More interested,4361,"Because growing up only that, That concerned our community did we care about not who the President is or who going to be next to try and seperate our families"
Education and more info,3686,"While incarcerated, a person has time to gather knowledge if he or she chooses, pertaining to politics. We learn a lot, see a lot, thus our views change because we have time."
Education and more info,7601,[Yes] Because when I was in the streets I never really watched news. But now being incarcerated I'm informed with all the terrible things happening in our country and how corrupt those politicians are.
More interested,5031,Before i was incarcerated i was apathetic towards the needs of others and my own needs. That has fortunately changed and ive become aware of the history of the issues facing the american people today
Not changed,5937,No
Need for change in system,2559,Justice is unfair
Education and more info,3059,I was never into politics on the streets but while in prison i have been trying to better myself as much as i can and being informed with politics just came natrual with trying to better myself and be smarter .
Education and more info,8080,My political veiws have changed because Iv had more time to pay attention whats going on around me
Not changed,6438,No
More interested,5424,Iam more aware of politics now.
Less interested or less belief in system,2087,I feel that if people like myself n
I don't know or I don't feel talking about it,629,Nehru's
Need for change in system,2126,Peace
Views on politics,6417,I hate politics
More interested,572,Before I came to prison I never was into political decided
Views on political parties,2235,Republicans have the most money and stability. I realize i lack these important things supporting democrat
More interested,3986,I've gotten more interested becouse in here i pay attention to the world news. I'm more aware of what's going on out there.
Need for change in system,2290,There should be more programs for inmates that are released with no probation no parole. To make it as a productive member in sociaty.
Education and more info,7523,"[Yes] I used to associate myself as democrat. After reading and researching both major parties, I do not concur with the democrats history or principles."
More interested,6962,"The value of my rights and moral objectives have been raised, how I affect the community and how it can me is of the greatest importance. My voice in prison does not matter to anyone but myself but it should not be that way. We all matter and we all need the oppertunity to contribute our voice."
Education and more info,7982,It has help me really understand whats really going on in the world
Need for change in system,2994,[Yes] It's hard to find somebody to fix a broken world. Everybody always sell dreams of what they going to do. Then they get there & do nothing. It's all personal gain for themselves!
Not changed,4399,No
Education and more info,7030,"My views before this concrete kasket you call a cell, were misguided, adolescent, sophmoric at best, but being locked in this cell for 23-24 hours a day for about 12 years straight has opened my eyes, heart, and mind to many things, thus the formulation of my political beliefs as the are today."
Views on politicians,3290,I want to be careful on who i vote for because some political candidates wont favor me just because of my class of wealth and race
Views on politics,2271,Greatly
I don't know or I don't feel talking about it,1827,Tuff
Experience related to prison or justice system,2657,The way inmates are treated
More interested,3538,I care more where as before i really didnt care at all
"Personal life, including religion and race",5458,"I am mexican. I believe us mexicans should stop killing each other and unite and take our land back from the united states. If we can , take down this crooked greedy government, and destroy these prisons. Thats just a dream of mine though. Itll never happen. "
More interested,5152,"Yes they have or should I say that now I pay more attention,in the past I didnt really care about politics but now I know that things are starting to go in a better direction with border security and mainly and to deport all gang members that are here illegally, and believe me there is a whole lot of them in prisons all over the U.S."
Not changed,7506,[No]
I don't know or I don't feel talking about it,8165,Id rather not share
